linker,conformer_id,distance_A,Rg_A,energy_kcal_mol,mmff_status
Flexible PEG,83,10.472817210930131,3.4896846378531654,49.292769437591744,0
Flexible PEG,84,9.413482153555675,3.2212583391982825,46.304665354052815,0
Flexible PEG,85,9.550714152576598,3.507486620798421,46.10228112673682,0
Flexible PEG,86,10.371249985338979,3.49817857144421,48.612697705845946,0
Flexible PEG,87,8.11895896733228,3.216706954507917,47.75501306193617,0
Flexible PEG,88,10.367817830992449,3.4847726170216955,47.87732242284909,0
Flexible PEG,89,9.903350839017746,3.3187180853115454,53.53805962605064,0
Flexible PEG,90,9.450530075020945,3.318631952888008,51.193462186925785,0
Flexible PEG,91,10.463790039468327,3.4438223145523894,50.673055431303766,0
Flexible PEG,92,8.726118123461877,3.240912429559498,49.230861970678085,0
Flexible PEG,93,10.447204699065386,3.385027317692509,52.175349156029675,0
Flexible PEG,94,10.389575333184496,3.4601151945876936,49.38648360029458,0
Flexible PEG,95,7.941354870015896,2.917169221494612,48.970476088016554,0
Flexible PEG,96,7.640494477584184,3.0923702138293074,51.379553398994126,0
Flexible PEG,97,10.122113132916736,3.468817719557973,46.63358432229525,0
Flexible PEG,98,10.532669357992242,3.5547684239648016,49.38099053968436,0
Flexible PEG,99,9.280707237382822,3.420600928134845,47.79979194929868,0
Rigid alkynyl,0,9.604953540157616,3.296746260167942,-0.12237371253289668,0
Rigid alkynyl,1,9.604953919040911,3.2967463285118086,-0.12237371349798018,0
Rigid alkynyl,2,9.604954086494265,3.2967464162474522,-0.12237371404300787,0
Rigid alkynyl,3,9.604953835717259,3.2967463239873953,-0.12237371226106031,0
Rigid alkynyl,4,9.604954053108951,3.2967463998072732,-0.12237371542622927,0
Rigid alkynyl,5,9.604953909013894,3.2967463523467337,-0.1223737007798016,0
Rigid alkynyl,6,9.604953686554856,3.296746323144531,-0.12237371661340787,0
Rigid alkynyl,7,9.604953771456724,3.296746356712021,-0.1223737188580738,0
Rigid alkynyl,8,9.604953985870637,3.2967463711785894,-0.12237372057410105,0
Rigid alkynyl,9,9.604953905771442,3.296746374384293,-0.12237371684744303,0
Rigid alkynyl,10,9.60495454830903,3.2967465206317383,-0.12237371865291757,0
Rigid alkynyl,11,9.60495347487369,3.2967462197510056,-0.12237371319523294,0
Rigid alkynyl,12,9.604953692007719,3.296746284643655,-0.12237371245319499,0
Rigid alkynyl,13,9.604953573138141,3.2967462937352563,-0.12237370777247138,0
Rigid alkynyl,14,9.604953576253143,3.2967462805107153,-0.12237371855250267,0
Rigid alkynyl,15,9.604953979535539,3.296746386418533,-0.12237371692843312,0
Rigid alkynyl,16,9.604954157054818,3.2967464470335037,-0.12237371741388599,0
Rigid alkynyl,17,9.60495397215502,3.296746352253966,-0.12237370048546825,0
Rigid alkynyl,18,9.604953966536161,3.296746402365183,-0.1223737148066116,0
Rigid alkynyl,19,9.604954279829792,3.2967463725535597,-0.12237371762550302,0
Rigid alkynyl,20,9.604954371114033,3.296746490950675,-0.1223737170992331,0
Rigid alkynyl,21,9.604953908157645,3.296746343932,-0.12237371628860058,0
Rigid alkynyl,22,9.60495399081708,3.2967463879491765,-0.12237372050655156,0
Rigid alkynyl,23,9.604953753826377,3.2967463319649286,-0.12237372004959425,0
Rigid alkynyl,24,9.604954058102983,3.296746379370082,-0.1223737169629755,0
Rigid alkynyl,25,9.604954671533918,3.296746588246017,-0.12237371964389376,0
Rigid alkynyl,26,9.604954036273103,3.2967463966082904,-0.1223737167337461,0
Rigid alkynyl,27,9.604955266888298,3.2967467118596683,-0.12237371974343436,0
Rigid alkynyl,28,9.60495394259574,3.2967463826418917,-0.12237371984776171,0
Rigid alkynyl,29,9.604954334295106,3.296746475917822,-0.12237371007532032,0
Rigid alkynyl,30,9.604953486894901,3.2967462202472904,-0.12237370929292132,0
