alpha,P_total_nM,time_h,target_fraction,degradation_pct
10.0,0.4466835921509635,8.0,0.9632639385948752,3.6736061405124754
10.0,0.4466835921509635,8.25,0.9621181058544335,3.788189414556653
10.0,0.4466835921509635,8.5,0.9609724076121249,3.902759238787512
10.0,0.4466835921509635,8.75,0.9598268441424075,4.017315585759251
10.0,0.4466835921509635,9.0,0.9586814157205443,4.131858427945567
10.0,0.4466835921509635,9.25,0.9575361226226071,4.246387737739288
10.0,0.4466835921509635,9.5,0.9563909651254789,4.360903487452106
10.0,0.4466835921509635,9.75,0.9552459435068572,4.475405649314279
10.0,0.4466835921509635,10.0,0.9541010580452569,4.589894195474309
10.0,0.4466835921509635,10.25,0.9529563090200137,4.704369097998629
10.0,0.4466835921509635,10.5,0.9518116967112868,4.818830328871315
10.0,0.4466835921509635,10.75,0.9506672214000627,4.933277859993734
10.0,0.4466835921509635,11.0,0.949522883368157,5.0477116631842955
10.0,0.4466835921509635,11.25,0.9483786828982196,5.162131710178041
10.0,0.4466835921509635,11.5,0.9472346202737355,5.27653797262645
10.0,0.4466835921509635,11.75,0.9460906957790302,5.390930422096984
10.0,0.4466835921509635,12.0,0.944946909699271,5.505309030072903
10.0,0.4466835921509635,12.25,0.9438032623204715,5.619673767952849
10.0,0.4466835921509635,12.5,0.9426597539294944,5.734024607050559
10.0,0.4466835921509635,12.75,0.9415163848140545,5.8483615185945474
10.0,0.4466835921509635,13.0,0.9403731552627224,5.962684473727764
10.0,0.4466835921509635,13.25,0.9392300655649272,6.076993443507284
10.0,0.4466835921509635,13.5,0.9380871160109603,6.191288398903971
10.0,0.4466835921509635,13.75,0.9369443068919785,6.30556931080215
10.0,0.4466835921509635,14.0,0.9358016385000072,6.419836149999281
10.0,0.4466835921509635,14.25,0.9346591111279439,6.5340888872056135
10.0,0.4466835921509635,14.5,0.9335167250695615,6.6483274930438485
10.0,0.4466835921509635,14.75,0.9323744806195114,6.762551938048855
10.0,0.4466835921509635,15.0,0.9312323780733275,6.876762192667252
10.0,0.4466835921509635,15.25,0.9300904177274287,6.990958227257127
10.0,0.4466835921509635,15.5,0.9289485998791233,7.1051400120876735
10.0,0.4466835921509635,15.75,0.9278069248266112,7.21930751733888
10.0,0.4466835921509635,16.0,0.9266653928689887,7.333460713101125
10.0,0.4466835921509635,16.25,0.9255240043062509,7.4475995693749075
10.0,0.4466835921509635,16.5,0.9243827594392957,7.561724056070429
10.0,0.4466835921509635,16.75,0.923241658569927,7.6758341430072985
10.0,0.4466835921509635,17.0,0.9221007020008585,7.789929799914153
10.0,0.4466835921509635,17.25,0.9209598900357167,7.904010996428335
10.0,0.4466835921509635,17.5,0.9198192229790451,8.018077702095495
10.0,0.4466835921509635,17.75,0.9186787011363073,8.132129886369267
10.0,0.4466835921509635,18.0,0.9175383248138906,8.246167518610935
10.0,0.4466835921509635,18.25,0.9163980943191098,8.36019056808902
10.0,0.4466835921509635,18.5,0.9152580099602103,8.474199003978967
10.0,0.4466835921509635,18.75,0.9141180720463726,8.588192795362737
10.0,0.4466835921509635,19.0,0.9129782808877149,8.702171911228508
10.0,0.4466835921509635,19.25,0.9118386367952974,8.816136320470259
10.0,0.4466835921509635,19.5,0.910699140081126,8.930085991887404
10.0,0.4466835921509635,19.75,0.9095597910581554,9.044020894184456
10.0,0.4466835921509635,20.0,0.9084205900402934,9.157940995970659
10.0,0.4466835921509635,20.25,0.9072815373424044,9.271846265759564
10.0,0.4466835921509635,20.5,0.9061426332803131,9.385736671968692
10.0,0.4466835921509635,20.75,0.9050038781708081,9.499612182919194
10.0,0.4466835921509635,21.0,0.9038652723316462,9.613472766835384
10.0,0.4466835921509635,21.25,0.9027268160815553,9.727318391844475
10.0,0.4466835921509635,21.5,0.9015885097402393,9.84114902597607
10.0,0.4466835921509635,21.75,0.900450353628381,9.9549646371619
10.0,0.4466835921509635,22.0,0.8993123480676463,10.068765193235373
10.0,0.4466835921509635,22.25,0.898174493380688,10.1825506619312
10.0,0.4466835921509635,22.5,0.8970367898911501,10.29632101088499
10.0,0.4466835921509635,22.75,0.8958992379236708,10.410076207632923
10.0,0.4466835921509635,23.0,0.8947618378038872,10.523816219611282
10.0,0.4466835921509635,23.25,0.8936245898584388,10.637541014156115
10.0,0.4466835921509635,23.5,0.8924874944149719,10.75125055850281
10.0,0.4466835921509635,23.75,0.891350551802143,10.864944819785705
10.0,0.4466835921509635,24.0,0.8902137623496228,10.978623765037721
10.0,0.5011872336272725,0.0,1.0,0.0
10.0,0.5011872336272725,0.25,0.9987157698807978,0.1284230119202201
10.0,0.5011872336272725,0.5,0.9974316964986742,0.25683035013257527
10.0,0.5011872336272725,0.75,0.9961477802013432,0.38522197986567974
