formulation,absorption_enabled,time_h,undissolved_mg,dissolved_mg,precipitated_mg,absorbed_mg,growth_site_activation,free_concentration_mg_ml
amorphous,True,1.1333333333333333,4.834751343273741,25.65128683097309,56.793050835332586,12.720910990420569,4.1173402939220365,0.028501429812192322
amorphous,True,1.1416666666666666,4.610073907383365,25.35882272971182,57.24643021172689,12.78467315117791,4.120702625623121,0.028176469699679803
amorphous,True,1.15,4.391500229337431,25.068636850890684,57.69215591720101,12.847707002570857,4.123782173749142,0.027854040945434092
amorphous,True,1.1583333333333332,4.179018484471582,24.78071459707806,58.13024869668505,12.910018221765293,4.1265947380722645,0.027534127330086734
amorphous,True,1.1666666666666667,3.972613155588812,24.49504213468302,58.56073225937101,12.971612450357146,4.129155820808657,0.02721671348298113
amorphous,True,1.175,3.7722650385402603,24.211606539377204,58.98363312561699,13.032495296465527,4.131480606471409,0.02690178504375245
amorphous,True,1.1833333333333333,3.5779512484089775,23.930395933172868,59.3989804812392,13.09267233717894,4.133583941281466,0.02658932881463652
amorphous,True,1.1916666666666667,3.3896452261821066,23.651399613434332,59.80680603904948,13.15214912133407,4.1354803122113175,0.026279332903815924
amorphous,True,1.2,3.2073167458108327,23.374608174072517,60.207143907509405,13.21093117260723,4.137183825761267,0.025971786860080573
amorphous,True,1.2083333333333333,3.030931921571278,23.100013619141134,60.600030466388255,13.269023992899314,4.138708186594971,0.025666681799045705
amorphous,True,1.2166666666666666,2.860453215653216,22.82760946902492,60.98550424932645,13.326433065995392,4.140066676188964,0.0253640105211388
amorphous,True,1.225,2.6958394459158708,22.5573908593796,61.363605833223794,13.383163861480723,4.141272131680108,0.02506376762153289
amorphous,True,1.2333333333333334,2.5370457937632436,22.289354632954336,61.73437773438723,13.439221838895177,4.1423369251243765,0.024765949592171484
amorphous,True,1.2416666666666667,2.384023812103146,22.023499424399642,62.09786431138877,13.494612452108424,4.143272943409773,0.0244705549159996
amorphous,True,1.25,2.2367214333659544,21.759825738136243,62.4541116745993,13.549341153898485,4.144091569094457,0.024177584153484713
amorphous,True,1.2583333333333333,2.0950829775712236,21.498336019336364,62.803167602376114,13.60341340071628,4.144803662467292,0.023887040021484847
amorphous,True,1.2666666666666666,1.9590491604399523,21.239034718046344,63.14508146389456,13.65683465761912,4.14541954515104,0.023598927464495937
amorphous,True,1.275,1.8285571015629036,20.98192834646028,63.4799041486209,13.709610403355894,4.1459489855866325,0.023313253718289198
amorphous,True,1.2833333333333332,1.703540332644249,20.727025529339592,63.807688002429245,13.761746135586892,4.146401186749123,0.02303002836593288
amorphous,True,1.2916666666666667,1.5839288058504022,20.474337047561495,64.12848677036698,13.813247376221112,4.146784776450277,0.022749263386179438
amorphous,True,1.3,1.4696489023047652,20.223875874773427,64.44235554606803,13.864119676853766,4.147107800577568,0.022470973194192695
amorphous,True,1.3083333333333333,1.3606234407754063,19.97565720712994,64.74935072780777,13.914368624286872,4.147377719603077,0.022195174674588824
amorphous,True,1.3166666666666667,1.2567716866162693,19.729698486091678,65.0495299811766,13.963999846115424,4.147601408666725,0.02192188720676853
amorphous,True,1.325,1.1580093610261615,19.48601941427923,65.34295220833265,14.013019016361937,4.14778516149516,0.02165113268253248
amorphous,True,1.3333333333333333,1.0642486507017441,19.244641964389032,65.62967752376726,14.061431861141951,4.14793469835963,0.021382935515987814
