route,I_over_Ki,time_h,blood,liver,gut_depot,kidney,brain,lung,rest,metabolic_loss_mg,urinary_loss_mg,fecal_biliary_loss_mg,plasma_AUC_mg_h_l,hepatocyte_mg,renal_cell_mg,enterocyte_mg
IV,10.0,83.60000000000001,0.5816871156077159,0.5659347022656572,0.0,0.08435454411235482,1.0207498628419962,0.05384241384621019,44.48758902086047,3.4876020196165514,30.60408200787027,19.065426144951378,15.034444945420425,0.034418986488379266,0.014313183282964588,0.0
IV,10.0,83.7,0.5811622973857694,0.5654240032894541,0.0,0.08427834451974199,1.0198289484142244,0.05379383537362922,44.447473297294586,3.4902484010664447,30.628598220815707,19.08050627644651,15.046073442174313,0.034386911007461,0.014299466130422683,0.0
IV,10.0,83.80000000000001,0.5806379407035412,0.5649137536036846,0.0,0.08420221209767162,1.01890884379224,0.05374529962228124,44.40739281352534,3.4928923162420005,30.65309313389929,19.095573060081644,15.057691446875232,0.034354865614193986,0.01428576256205888,0.0
IV,10.0,83.9,0.5801140451775356,0.5644039528347287,0.0,0.08412614679006336,1.017989548303297,0.05369680655666896,44.36734754033859,3.495533767444497,30.677566764373864,19.110626507080998,15.069298968707947,0.03432285028007924,0.014272072563631123,0.0
IV,10.0,84.0,0.5795906104242562,0.5638946006089665,0.0,0.08405014854083684,1.0170710612746494,0.0536483561412951,44.32733744852015,3.498172756975214,30.702019129492285,19.125666628668785,15.080896016857226,0.03429086497661778,0.014258396120897347,0.0
IV,10.0,84.10000000000001,0.5790676360602067,0.5633856965527778,0.0,0.08397421729391166,1.0161533820335507,0.05359994834066237,44.287362508855836,3.50080928713543,30.726450246507415,19.14069343606923,15.092482600507838,0.034258909675310596,0.014244733219615493,0.0
IV,10.0,84.2,0.5785451217018912,0.5628772402925428,0.0,0.08389835299320748,1.0152365099072551,0.05355158311927348,44.24742269213151,3.5034433602264246,30.750860132672102,19.155706940506548,15.104058728844544,0.03422698434765874,0.014231083845543502,0.0
IV,10.0,84.30000000000001,0.5780230669658135,0.5623692314546412,0.0,0.08382255558264391,1.0143204442230163,0.05350326044163114,44.207517969132965,3.5060749785494765,30.7752488052392,19.170707153204958,15.115624411052117,0.0341950889651632,0.014217447984439312,0.0
IV,10.0,84.4,0.5775014714684774,0.5618616696654534,0.0,0.0837468250061406,1.0134051843080885,0.05345498027223807,44.167648310646065,3.508704144405865,30.799616281461567,19.185694085388675,15.12717965631532,0.03416322349932499,0.014203825622060864,0.0
IV,10.0,84.5,0.5769803348263869,0.5613545545513591,0.0,0.08367116120761717,1.0124907294897256,0.05340674257559697,44.127813687456616,3.511330860096869,30.823962578592052,19.20066774828192,15.138724473818923,0.03413138792164514,0.014190216744166099,0.0
IV,10.0,84.60000000000001,0.5764596566560456,0.5608478857387382,0.0,0.08359556413099323,1.011577079095181,0.053358547316210564,44.088014070350454,3.5139551279237677,30.848287713883515,19.215628153108913,15.150258872747692,0.03409958220362465,0.014176621336512953,0.0
IV,10.0,84.7,0.5759394365739575,0.5603416628539709,0.0,0.08352003372018844,1.0106642324517092,0.05331039445858156,44.048249430113415,3.51657695018784,30.872591704588803,19.230575311093865,15.161782862286392,0.03406780631676454,0.01416303938485937,0.0
IV,10.0,84.80000000000001,0.5754196741966265,0.5598358855234371,0.0,0.08344456991912241,1.009752188886564,0.053262283967212665,44.008519737531316,3.5191963291903656,30.89687456796078,19.245509233461004,15.173296451619793,0.03403606023256582,0.014149470874963285,0.0
IV,10.0,84.9,0.5749003691405564,0.5593305533735168,0.0,0.08336917267171479,1.008840947726999,0.053214215806606596,43.96882496339,3.521813267232623,30.921136321252288,19.26042993143454,15.184799649932657,0.034004343922529504,0.014135915792582644,0.0
IV,10.0,85.0,0.5743815210222512,0.55882566603059,0.0,0.0832938419218852,1.0079305083002683,0.05316618994126606,43.929165078475286,3.524427766615891,30.94537698171619,19.275337416238692,15.196292466409757,0.03397265735815661,0.014122374123475383,0.0
IV,10.0,85.10000000000001,0.5738631294582143,0.5583212231210366,0.0,0.08321857761355325,1.0070208699336258,0.05311820633569377,43.88954005357301,3.5270398296414496,30.969596566605343,19.29023169909768,15.207774910235857,0.03394100051094815,0.014108845853399438,0.0
IV,10.0,85.2,0.57334519406495,0.5578172242712368,0.0,0.0831433796906386,1.0061120319543255,0.05307026495439245,43.849949859469,3.5296494586105767,30.99379509317259,19.305112791235725,15.219246990595723,0.03390937335240513,0.014095330968112756,0.0
IV,10.0,85.30000000000001,0.572827714458962,0.5573136691075703,0.0,0.08306824809706086,1.005203993689621,0.053022365761864795,43.810394466949084,3.5322566558245527,31.017972578670797,19.319980703877043,15.230708716674124,0.03387777585402858,0.014081829453373274,0.0
IV,10.0,85.4,0.5723106902567543,0.5568105572564173,0.0,0.08299318277673967,1.0042967544667667,0.052974508722613535,43.77087384679909,3.5348614235846556,31.04212904035281,19.334835448245848,15.242160097655825,0.0338462079873195,0.01406834129493893,0.0
IV,10.0,85.5,0.5717941210748305,0.5563078883441577,0.0,0.08291818367359466,1.003390313613016,0.052926693801141365,43.73138796980486,3.537463764192165,31.066264495471483,19.349677035566362,15.253601142725595,0.03381466972377892,0.014054866478567667,0.0
IV,10.0,85.60000000000001,0.5712780065296945,0.5558056619971714,0.0,0.08284325073154544,1.002484670455623,0.052878920961951,43.6919368067522,3.54006367994836,31.09037896127968,19.364505477062803,15.265031861068199,0.033783161034907826,0.014041404990017419,0.0
IV,10.0,85.7,0.5707623462378504,0.5553038778418385,0.0,0.08276838389451167,1.0015798243218417,0.052831190169545156,43.65252032842697,3.542661173154519,31.114472455030242,19.37932078395939,15.276452261868405,0.03375168189220725,0.014027956815046134,0.0
IV,10.0,85.80000000000001,0.5702471398158018,0.5548025355045391,0.0,0.08269358310641296,1.0006757745389259,0.052783501388426544,43.61313850561497,3.5452562461119226,31.138544993976033,19.39412296748034,15.287862354310981,0.033720232267178206,0.014014521939411745,0.0
IV,10.0,85.9,0.5697323868800526,0.5543016346116529,0.0,0.08261884831116895,0.9997725204341296,0.05273585458309788,43.57379130910204,3.547848901121848,31.162596595369905,19.408912038849866,15.299262147580691,0.033688812131321716,0.014001100348872194,0.0
IV,10.0,86.0,0.5692180870471067,0.5538011747895601,0.0,0.08254417945269926,0.9988700613347067,0.05268824971806187,43.534478709674026,3.5504391404855755,31.18662727646471,19.423688009292192,15.310651650862305,0.03365742145613877,0.013987692029185423,0.0
IV,10.0,86.10000000000001,0.5687042401067331,0.553301155833591,0.0,0.0824695765005186,0.9979683968712382,0.052640686773858726,43.49520069126931,3.553026965191766,31.21063704715197,19.43845088484137,15.322030868702226,0.03362606022830085,0.013974296975299314,0.0
IV,10.0,86.2,0.568190845687768,0.5528015773822826,0.0,0.08239503940051966,0.9970675263923061,0.052593165716132546,43.45595722557752,3.5556123774488575,31.23462592417898,19.453200676362204,15.333399809962089,0.033594728422061376,0.013960915175321362,0.0
IV,10.0,86.30000000000001,0.5676779031848039,0.5523024388456916,0.0,0.08232056806389948,0.9961674488366019,0.05254568648884584,43.416748266525516,3.5581953812392193,31.25859393423482,19.46793740173039,15.344758489769742,0.033563425990230523,0.013947546603935577,0.0
IV,10.0,86.4,0.5671654122267863,0.5518037398623415,0.0,0.0822461624364155,0.9952681635531959,0.05249824905765289,43.377573785842216,3.5607759787695263,31.282541094044966,19.482661071797736,15.35610691697657,0.03353215290551046,0.013934191247608307,0.0
IV,10.0,86.5,0.5666533724426597,0.5513054800707559,0.0,0.08217182246382508,0.9943696698911578,0.05245085338820799,43.33843375525648,3.563354172246456,31.30646742033492,19.49737169741608,15.36744510043396,0.03350090914060333,0.013920849092805901,0.0
IV,10.0,86.60000000000001,0.5661417834613692,0.550807659109458,0.0,0.08209754809188564,0.9934719671995574,0.05240349944616542,43.29932814649721,3.565929963876685,31.33037292983017,19.512069289437246,15.378773048993303,0.03346969466821128,0.013907520125994702,0.0
IV,10.0,86.7,0.5656306449118599,0.5503102766169716,0.0,0.08202333926635458,0.9925750548274649,0.05235618719717947,43.26025693129329,3.568503355866888,31.35425763925621,19.526753858713054,15.39009077150598,0.03343850946103647,0.013894204333641065,0.0
IV,10.0,86.80000000000001,0.5651199564230764,0.5498133322318203,0.0,0.08194919593298929,0.9916789321239499,0.05230891660690442,43.22122008137361,3.571074350423743,31.37812156533854,19.54142541609533,15.40139827682338,0.033407353491781054,0.013880901702211334,0.0
IV,10.0,86.9,0.5646097176239641,0.5493168255925274,0.0,0.0818751180375472,0.9907835984380824,0.052261687640994564,43.18221756846705,3.5736429497539257,31.40196472480264,19.556083972435896,15.412695573796894,0.03337622673314718,0.013867612218171859,0.0
IV,10.0,87.0,0.5640999281434677,0.5488207563376166,0.0,0.08180110552578566,0.9898890531189324,0.052214500265104186,43.14324936430252,3.5762091560641123,31.425787134374005,19.570729538586583,15.423982671277903,0.033345129157836995,0.013854335867988987,0.0
IV,10.0,87.10000000000001,0.563590587610532,0.5483251241056114,0.0,0.08172715834346211,0.9889952955155695,0.05216735444488756,43.10431544060887,3.5787729715609795,31.44958881077814,19.585362125399215,15.435259578117797,0.033314060738552656,0.013841072638129065,0.0
IV,10.0,87.2,0.5630816956541024,0.5478299285350353,0.0,0.08165327643633397,0.9881023249770641,0.052120250145999,43.06541576911503,3.5813343984512027,31.473369770740522,19.59998174372561,15.446526303167964,0.03328302144799632,0.013827822515058444,0.0
IV,10.0,87.30000000000001,0.5625732519031235,0.5473351692644118,0.0,0.08157945975015857,0.9872101408524857,0.05207318733409276,43.02655032154985,3.58389343894146,31.497130030986654,19.6145884044176,15.45778285527979,0.03325201125887012,0.01381458548524347,0.0
IV,10.0,87.4,0.5620652559865404,0.5468408459322646,0.0,0.08150570823069338,0.9863187424909043,0.052026165974823145,42.987719069642246,3.5864500952384257,31.52086960824202,19.629182118327005,15.469029243304659,0.03322103014387623,0.013801361535150491,0.0
IV,10.0,87.5,0.561557707533298,0.546346958177117,0.0,0.08143202182369577,0.98542812924139,0.051979186033844445,42.948921985121096,3.5890043695487774,31.544588519232118,19.64376289630565,15.480265476093962,0.03319007807571679,0.013788150651245857,0.0
IV,10.0,87.60000000000001,0.5610506061723413,0.5458535056374927,0.0,0.08135840047492313,0.9845383004530124,0.051932247476810925,42.910159039715275,3.591556264079191,31.568286780682442,19.658330749205366,15.491491562499087,0.033159155027093955,0.013774952819995911,0.0
