id,concentration_M,kobs_ODE_fit_s,kobs_exact_s,kobs_rapid_equilibrium_s,kobs_QSSA_s,relative_fit_eigen_error,model
W05,3.480700588428413e-06,0.006576262232082811,0.00657626247633608,0.006581795172078383,0.006550827123234878,3.714165464074881e-08,forward-only clamped free inhibitor
W05,5.623413251903491e-06,0.007055976126138568,0.007055976400274143,0.007058589210701497,0.007036508394296895,3.885154364891008e-08,forward-only clamped free inhibitor
W05,9.085175756516881e-06,0.007388796449061169,0.007388796876828984,0.007389944811507376,0.00737494772775345,5.789410939538442e-08,forward-only clamped free inhibitor
W05,1.4677992676220705e-05,0.007610616050912232,0.007610616316028895,0.00761109652267026,0.007601242690289323,3.483511079593882e-08,forward-only clamped free inhibitor
W05,2.3713737056616554e-05,0.007754544181147873,0.007754544513176805,0.007754739025108299,0.007748404421034439,4.28173352329253e-08,forward-only clamped free inhibitor
W05,3.831186849557293e-05,0.007846320016255062,0.007846320343067394,0.007846397516783407,0.007842382152207032,4.165166833658418e-08,forward-only clamped free inhibitor
W05,6.18965818891261e-05,0.007904194034001484,0.007904194403203398,0.007904224622971147,0.007901701994678781,4.6709619616613907e-08,forward-only clamped free inhibitor
W05,0.0001,0.007940434580753039,0.007940434913829035,0.00794044665012407,0.007938870695643545,4.194682023950236e-08,forward-only clamped free inhibitor
W06,1e-09,3.9900287213906047e-07,3.9900289078131385e-07,3.9980009995002507e-07,3.99002493765586e-07,4.672210107692365e-08,forward-only clamped free inhibitor
W06,1.6155980984398763e-09,6.4443081578041e-07,6.444308452890459e-07,6.457176292889465e-07,6.444298099682327e-07,4.579022883088868e-08,forward-only clamped free inhibitor
W06,2.6101572156825333e-09,1.0406261984878177e-06,1.0406262419992622e-06,1.042702078096538e-06,1.0406235436600464e-06,4.181274959602632e-08,forward-only clamped free inhibitor
W06,4.216965034285823e-09,1.6798911888912e-06,1.6798912649084067e-06,1.6832369380582244e-06,1.6798842386888519e-06,4.525126617860309e-08,forward-only clamped free inhibitor
W06,6.812920690579622e-09,2.7105321367908554e-06,2.7105322585243194e-06,2.7159166139851947e-06,2.710513989830477e-06,4.4911276586567794e-08,forward-only clamped free inhibitor
W06,1.1006941712522103e-08,4.3700338126712845e-06,4.370034005202947e-06,4.378678754096741e-06,4.369986617780078e-06,4.4057245740525275e-08,forward-only clamped free inhibitor
W06,1.7782794100389228e-08,7.036602767693056e-06,7.036602987587304e-06,7.050429472342699e-06,7.036480536793506e-06,3.125005754167631e-08,forward-only clamped free inhibitor
W06,2.8729848333536684e-08,1.1307216780080003e-05,1.1307217214072021e-05,1.1329196287869003e-05,1.1306902727714596e-05,3.8381859135405705e-08,forward-only clamped free inhibitor
W06,4.641588833612782e-08,1.8110642469493043e-05,1.8110643239322905e-05,1.814524158092499e-05,1.8109843412808668e-05,4.250704133124117e-08,forward-only clamped free inhibitor
W06,7.498942093324559e-08,2.8858106473629898e-05,2.885810773946906e-05,2.891173137625672e-05,2.885610486640506e-05,4.386424690139279e-08,forward-only clamped free inhibitor
W06,1.21152765862859e-07,4.5612067285307754e-05,4.5612069189392656e-05,4.569317884601321e-05,4.560717433926903e-05,4.1745198964271424e-08,forward-only clamped free inhibitor
