gene,diplotype,genetic_phenotype,I_over_Ki,time_h,depot_nmol,parent_nmol,metabolite_nmol,eliminated_nmol_equivalent,parent_AUC_nM_h,metabolite_AUC_nM_h,doses_received
CYP2C19,*1/*1,NM,100.0,134.5,0.0005043476625869283,766.6702936962195,8.546878619277713,5224.782323336827,2084.1250335163522,30.87912246029107,6
CYP2C19,*1/*1,NM,100.0,134.75,0.00039278635456293246,758.7413400362574,8.504335864281398,5232.753931313094,2087.9385282648973,30.950169947036905,6
CYP2C19,*1/*1,NM,100.0,135.0,0.0003059023205133743,750.8943682397022,8.460729956770795,5240.6445959011935,2091.712583552737,31.020858438375388,6
CYP2C19,*1/*1,NM,100.0,135.25,0.00023823696675917577,743.1285350495174,8.41612116503478,5248.455105548468,2095.4476071778768,31.09117932740071,6
CYP2C19,*1/*1,NM,100.0,135.5,0.00018553913626860233,735.4430049090051,8.370567519967771,5256.186242031878,2099.1440027412123,31.161124500066837,6
CYP2C19,*1/*1,NM,100.0,135.75,0.00014449802461637958,727.8369501079645,8.324124890844145,5263.838780503153,2102.8021696854244,31.230686316860016,6
CYP2C19,*1/*1,NM,100.0,136.0,0.00011253517472350756,720.3095508773918,8.27684705864563,5271.413489528775,2106.422503334465,31.299857595092465,6
CYP2C19,*1/*1,NM,100.0,136.25,8.764248219774506e-05,712.8599954443039,8.228785787007729,5278.911131126193,2110.005394933415,31.36863159179719,6
CYP2C19,*1/*1,NM,100.0,136.5,6.825603376592551e-05,705.487480055701,8.179990890852283,5286.3324607974,2113.5512316885365,31.43700198720431,6
CYP2C19,*1/*1,NM,100.0,136.75,5.315785254625104e-05,698.191208978688,8.130510302773565,5293.678227560673,2117.06039680738,31.50496286877993,6
CYP2C19,*1/*1,NM,100.0,137.0,4.1399377189414584e-05,690.970394482221,8.080390137245024,5300.949173981144,2120.533269538848,31.572508715809082,6
CYP2C19,*1/*1,NM,100.0,137.25,3.224186737378454e-05,683.8242568047325,8.02967475271306,5308.146036200674,2123.9702252131265,31.639634384504905,6
CYP2C19,*1/*1,NM,100.0,137.5,2.510999155838778e-05,676.7520241109476,7.978406811643291,5315.269543967404,2127.3716352814304,31.706335093626667,6
CYP2C19,*1/*1,NM,100.0,137.75,1.9555681088588768e-05,669.7529324404666,7.926627338583451,5322.320420665255,2130.737867355507,31.772606410589873,6
CYP2C19,*1/*1,NM,100.0,138.0,1.5229979745287596e-05,662.8262256501205,7.874375776305716,5329.29938334358,2134.069285246871,31.8384442380522,6
CYP2C19,*1/*1,NM,100.0,138.25,1.1861120151791615e-05,655.9711553516581,7.821690040089742,5336.207142747117,2137.366249005734,31.903844800959476,6
CYP2C19,*1/*1,NM,100.0,138.5,9.23744966231933e-06,649.1869808459785,7.768606570206096,5343.044403346351,2140.6291149596186,31.96880463403648,6
CYP2C19,*1/*1,NM,100.0,138.75,7.194133030596979e-06,642.4729690548492,7.715160382658185,5349.811863368345,2143.858235751632,32.033320569707826,6
CYP2C19,*1/*1,NM,100.0,139.0,5.602796437748786e-06,635.8283944508454,7.6613851182390755,5356.510214828105,2147.053960378397,32.09738972643462,6
CYP2C19,*1/*1,NM,100.0,139.25,4.363462253108432e-06,629.2525389860768,7.607313089958014,5363.1401435604885,2150.2166342276278,32.161009497453094,6
CYP2C19,*1/*1,NM,100.0,139.5,3.3982678196233637e-06,622.7446920201425,7.552975328889778,5369.702329252686,2153.3465991153485,32.224177539901866,6
CYP2C19,*1/*1,NM,100.0,139.75,2.6465736390090315e-06,616.304150247657,7.498401628498384,5376.197445477256,2156.444193322748,32.286891764324864,6
CYP2C19,*1/*1,NM,100.0,140.0,2.061153622516371e-06,609.9302176256117,7.443620587485078,5382.626159725735,2159.509751632676,32.34915032453745,6
CYP2C19,*1/*1,NM,100.0,140.25,1.6052280552462127e-06,603.6222053007733,7.388659651208956,5388.989133442775,2162.5436053657704,32.41095160784362,6
CYP2C19,*1/*1,NM,100.0,140.5,1.2501528664339388e-06,597.3794315372801,7.333545151727076,5395.287022060825,2165.546082416228,32.47229422559262,6
CYP2C19,*1/*1,NM,100.0,140.75,9.73620031337713e-07,591.2012216445539,7.278302346499372,5401.520475035311,2168.517507287207,32.533177004063575,6
CYP2C19,*1/*1,NM,100.0,141.0,7.582560428198165e-07,585.0869079056214,7.222955455802277,5407.690135880305,2171.4582011258794,32.59359897566731,6
CYP2C19,*1/*1,NM,100.0,141.25,5.905303999166979e-07,579.0358295059144,7.167527698893507,5413.796642204647,2174.3684817581156,32.65355937045469,6
CYP2C19,*1/*1,NM,100.0,141.5,4.599055378825942e-07,573.0473324626028,7.112041328969136,5419.840625748508,2177.2486637228235,32.71305760792125,6
CYP2C19,*1/*1,NM,100.0,141.75,3.5817479304184005e-07,567.1207695544987,7.056517666952692,5425.822712420359,2180.099058305929,32.772093289098315,6
CYP2C19,*1/*1,NM,100.0,142.0,2.789468092974234e-07,561.2555002525628,7.000977134154778,5431.74352233432,2182.919973574011,32.83066618892088,6
CYP2C19,*1/*1,NM,100.0,142.25,2.172439935161032e-07,555.4508906510318,6.945439283840422,5437.603669847867,2185.711714407591,32.88877624886311,6
CYP2C19,*1/*1,NM,100.0,142.5,1.6918979226790038e-07,549.7063133991842,6.889922831740158,5443.403763599869,2188.474582534077,32.94642356983251,6
CYP2C19,*1/*1,NM,100.0,142.75,1.3176514270592914e-07,544.0211476337519,6.834445685539686,5449.144406548927,2191.2088765603703,33.003608405314004,6
CYP2C19,*1/*1,NM,100.0,143.0,1.0261879632089303e-07,538.3947789119869,6.779024973381775,5454.826196011996,2193.9148920051343,33.06033115475569,6
CYP2C19,*1/*1,NM,100.0,143.25,7.99195989325565e-08,532.8265991453837,6.723677071413017,5460.449723703267,2196.5929213307327,33.11659235718805,6
CYP2C19,*1/*1,NM,100.0,143.5,6.224144623142762e-08,527.3160065340596,6.6684176304069345,5466.015575773276,2199.2432539748347,33.17239268506891,6
CYP2C19,*1/*1,NM,100.0,143.75,4.847368706453257e-08,521.8624055017925,6.613261601493938,5471.524332848225,2201.8661763816963,33.22773293834645,6
CYP2C19,*1/*1,NM,100.0,144.0,1000.0000000377513,516.4652066317136,6.558223261027616,5476.9765700694925,2204.4619720331175,33.28261403873307,7
CYP2C19,*1/*1,NM,100.0,144.25,778.8007831008056,698.1287436598905,6.533883893463222,5516.536589345826,2207.518807910217,33.33712400342971,7
CYP2C19,*1/*1,NM,100.0,144.5,606.5306597355308,836.5481410985651,6.559894119339123,5550.361305046549,2211.371336241659,33.391651598745945,7
CYP2C19,*1/*1,NM,100.0,144.75,472.3665527588472,941.3206190353765,6.62269384237554,5579.690134363385,2215.8283282051366,33.44655748126966,7
