polymer,drug_mass_fraction,drug_volume_fraction,chi_25C,mixing_free_energy_over_RT_per_site,dry_Tg_C
HPMC-AS,0.696273333333,0.679085306945,0.5143292057,-0.154372285739,66.2224189976
HPMC-AS,0.6996,0.682514389776,0.5143292057,-0.152894521975,65.9806957435
HPMC-AS,0.702926666667,0.685945327913,0.5143292057,-0.151410450992,65.7391860814
HPMC-AS,0.706253333333,0.689378122861,0.5143292057,-0.14992014548,65.4978897283
HPMC-AS,0.70958,0.69281277613,0.5143292057,-0.148423677431,65.2568064016
HPMC-AS,0.712906666667,0.696249289227,0.5143292057,-0.146921118142,65.0159358194
HPMC-AS,0.716233333333,0.699687663665,0.5143292057,-0.145412538223,64.7752777003
HPMC-AS,0.71956,0.703127900955,0.5143292057,-0.1438980076,64.5348317632
HPMC-AS,0.722886666667,0.706570002612,0.5143292057,-0.142377595521,64.2945977277
HPMC-AS,0.726213333333,0.710013970152,0.5143292057,-0.140851370557,64.0545753137
HPMC-AS,0.72954,0.713459805093,0.5143292057,-0.139319400608,63.8147642418
HPMC-AS,0.732866666667,0.716907508953,0.5143292057,-0.137781752906,63.5751642329
HPMC-AS,0.736193333333,0.720357083255,0.5143292057,-0.136238494018,63.3357750086
HPMC-AS,0.73952,0.723808529519,0.5143292057,-0.134689689847,63.0965962907
HPMC-AS,0.742846666667,0.727261849271,0.5143292057,-0.133135405637,62.8576278018
HPMC-AS,0.746173333333,0.730717044036,0.5143292057,-0.131575705971,62.6188692648
HPMC-AS,0.7495,0.734174115342,0.5143292057,-0.130010654775,62.3803204031
HPMC-AS,0.752826666667,0.737633064718,0.5143292057,-0.128440315318,62.1419809407
HPMC-AS,0.756153333333,0.741093893695,0.5143292057,-0.126864750214,61.903850602
HPMC-AS,0.75948,0.744556603804,0.5143292057,-0.125284021416,61.6659291118
HPMC-AS,0.762806666667,0.748021196582,0.5143292057,-0.123698190225,61.4282161955
HPMC-AS,0.766133333333,0.751487673562,0.5143292057,-0.12210731728,61.190711579
HPMC-AS,0.76946,0.754956036283,0.5143292057,-0.12051146256,60.9534149885
HPMC-AS,0.772786666667,0.758426286284,0.5143292057,-0.118910685383,60.716326151
HPMC-AS,0.776113333333,0.761898425105,0.5143292057,-0.1173050444,60.4794447937
HPMC-AS,0.77944,0.76537245429,0.5143292057,-0.115694597593,60.2427706443
HPMC-AS,0.782766666667,0.768848375382,0.5143292057,-0.114079402272,60.0063034311
HPMC-AS,0.786093333333,0.772326189928,0.5143292057,-0.112459515068,59.7700428829
HPMC-AS,0.78942,0.775805899474,0.5143292057,-0.110834991926,59.5339887287
HPMC-AS,0.792746666667,0.77928750557,0.5143292057,-0.109205888103,59.2981406984
HPMC-AS,0.796073333333,0.782771009768,0.5143292057,-0.107572258156,59.0624985219
HPMC-AS,0.7994,0.786256413619,0.5143292057,-0.105934155935,58.8270619299
HPMC-AS,0.802726666667,0.789743718678,0.5143292057,-0.104291634575,58.5918306536
HPMC-AS,0.806053333333,0.793232926501,0.5143292057,-0.102644746483,58.3568044243
HPMC-AS,0.80938,0.796724038646,0.5143292057,-0.100993543328,58.1219829742
HPMC-AS,0.812706666667,0.800217056672,0.5143292057,-0.0993380760249,57.8873660358
HPMC-AS,0.816033333333,0.80371198214,0.5143292057,-0.0976783947253,57.6529533419
HPMC-AS,0.81936,0.807208816614,0.5143292057,-0.0960145487971,57.418744626
HPMC-AS,0.822686666667,0.810707561657,0.5143292057,-0.0943465868084,57.1847396219
HPMC-AS,0.826013333333,0.814208218836,0.5143292057,-0.0926745565084,56.950938064
HPMC-AS,0.82934,0.817710789719,0.5143292057,-0.0909985048056,56.7173396872
HPMC-AS,0.832666666667,0.821215275875,0.5143292057,-0.0893184777448,56.4839442265
HPMC-AS,0.835993333333,0.824721678877,0.5143292057,-0.0876345204811,56.2507514179
HPMC-AS,0.83932,0.828230000296,0.5143292057,-0.0859466772518,56.0177609973
HPMC-AS,0.842646666667,0.831740241708,0.5143292057,-0.0842549913456,55.7849727016
HPMC-AS,0.845973333333,0.83525240469,0.5143292057,-0.0825595050681,55.5523862677
HPMC-AS,0.8493,0.838766490819,0.5143292057,-0.0808602597044,55.3200014333
HPMC-AS,0.852626666667,0.842282501677,0.5143292057,-0.0791572954784,55.0878179362
HPMC-AS,0.855953333333,0.845800438843,0.5143292057,-0.0774506515065,54.8558355151
HPMC-AS,0.85928,0.849320303903,0.5143292057,-0.0757403657481,54.6240539087
HPMC-AS,0.862606666667,0.852842098441,0.5143292057,-0.0740264749506,54.3924728565
HPMC-AS,0.865933333333,0.856365824044,0.5143292057,-0.0723090145876,54.1610920982
HPMC-AS,0.86926,0.8598914823,0.5143292057,-0.0705880187919,53.9299113742
HPMC-AS,0.872586666667,0.863419074801,0.5143292057,-0.0688635202804,53.6989304251
HPMC-AS,0.875913333333,0.866948603139,0.5143292057,-0.0671355502712,53.468148992
HPMC-AS,0.87924,0.870480068907,0.5143292057,-0.0654041383906,53.2375668167
HPMC-AS,0.882566666667,0.8740134737,0.5143292057,-0.0636693125702,53.0071836411
HPMC-AS,0.885893333333,0.877548819118,0.5143292057,-0.0619310989314,52.7769992078
HPMC-AS,0.88922,0.881086106758,0.5143292057,-0.0601895216563,52.5470132596
