degrader_total_nM,penalty_kcal_mol,free_pool_48h_nM,chromatin_pool_48h_nM,total_48h_nM,degraded_nM,synthesized_nM
14.67799267622069,1.0,29.796262755008943,44.51033885298961,74.30660160799856,145.69339839216696,120.00000000000003
21.54434690031882,1.0,27.319146790210098,38.85978086569255,66.17892765590264,153.82107234437095,120.00000000000007
31.622776601683793,1.0,24.735839137020246,32.764027165705485,57.499866302725735,162.50013369768675,120.00000000000003
46.41588833612777,1.0,22.508278173047295,27.073135432535402,49.581413605582696,170.4185863950356,120.0
68.12920690579608,1.0,21.13328875606601,22.650043213887237,43.783331969953245,176.21666803078614,120.00000000000003
100.0,1.0,20.924117196105477,19.8966109314121,40.820728127517576,179.17927187310082,119.99999999999997
146.77992676220674,1.0,21.98931653563104,18.700377949233914,40.68969448486496,179.31030551551203,120.00000000000003
215.44346900318823,1.0,24.363226969241197,18.71501222821056,43.07823919745176,176.9217608027122,119.99999999999996
316.22776601683796,1.0,28.06860153516966,19.534335129404074,47.60293666457373,172.39706333559496,120.00000000000004
464.1588833612773,1.0,33.06084652677154,20.71522779977335,53.77607432654489,166.22392567309547,119.99999999999999
681.2920690579608,1.0,39.11889364537886,21.82617819169057,60.945071837069435,159.05492816222386,120.00000000000001
1000.0,1.0,45.78614315339606,22.57178474860863,68.35792790200469,151.64207209744353,119.99999999999999
1467.7992676220676,1.0,52.45460072767604,22.874953603516715,75.32955433119275,144.67044566846414,120.00000000000003
2154.4346900318824,1.0,58.56000624367572,22.830633515433135,81.39063975910886,138.6093602406029,119.99999999999999
3162.2776601683795,1.0,63.742980651083954,22.592590401900864,86.33557105298482,133.66442894683178,119.99999999999996
4641.588833612773,1.0,67.88476995640431,22.289664757368737,90.17443471377305,129.82556528609462,120.00000000000004
6812.920690579608,1.0,71.04568663212194,21.999176762219207,93.04486339434115,126.95513660555737,120.00000000000004
10000.0,1.0,73.37780459008779,21.754968012649663,95.13277260273745,124.86722739719272,120.00000000000003
0.0,2.0,37.77761876957275,62.222381230427246,100.0,119.99999999999997,119.99999999999997
0.01,2.0,37.77197837551939,62.211287240951,99.98326561647039,120.01673438352971,120.00000000000003
0.014677992676220698,2.0,37.769340334437885,62.20609869537445,99.97543902981234,120.02456097018782,120.0
0.021544346900318832,2.0,37.765469063049025,62.19848412357616,99.96395318662519,120.03604681337474,119.99999999999994
0.03162277660168379,2.0,37.75978816672438,62.18731044809346,99.94709861481783,120.05290138518197,119.99999999999993
0.046415888336127774,2.0,37.75145313902206,62.17091569656934,99.9223688355914,120.07763116440857,119.99999999999999
0.06812920690579612,2.0,37.73922591757177,62.146864700729196,99.88609061830097,120.11390938169903,119.99999999999997
0.1,2.0,37.72129403030755,62.11159080347498,99.83288483378253,120.16711516621766,119.99999999999994
0.1467799267622069,2.0,37.69500619934938,62.059876560406394,99.75488275975577,120.24511724024471,120.0
0.21544346900318834,2.0,37.656491206585095,61.9841010321752,99.64059223876029,120.35940776124072,120.00000000000003
0.31622776601683794,2.0,37.60010984169806,61.87315890004273,99.47326874174078,120.52673125826081,120.00000000000003
0.46415888336127775,2.0,37.51767788081234,61.71092213438702,99.22860001519936,120.77139998480307,119.99999999999996
0.6812920690579611,2.0,37.397381040609545,61.47408789259361,98.87146893320315,121.12853106680035,120.00000000000004
1.0,2.0,37.222302631959295,61.12924206230545,98.35154469426475,121.64845530574053,120.00000000000001
1.467799267622069,2.0,36.96851509222969,60.62901932307099,97.59753441530069,122.40246558470686,119.99999999999999
2.154434690031882,2.0,36.602806276722326,59.90744783336302,96.51025411008536,123.48974588992812,120.00000000000003
3.1622776601683795,2.0,36.08042411282866,58.87513009328275,94.9555542061114,125.0444457939057,119.99999999999997
4.6415888336127775,2.0,35.343930393211174,57.41619093943376,92.76012133264493,127.2398786673842,120.00000000000003
6.812920690579608,2.0,34.32565108159848,55.39148009894947,89.71713118054795,130.28286881950498,119.99999999999994
10.0,2.0,32.95855309687184,52.65680478800387,85.6153578848757,134.38464211523183,120.00000000000001
14.67799267622069,2.0,31.20306930117192,49.10991588329545,80.31298518446737,139.6870148157368,120.00000000000001
21.54434690031882,2.0,29.096636441770336,44.77862733903055,73.87526378080088,146.12473621961067,120.0
31.622776601683793,2.0,26.817927429537505,39.9354422030242,66.75336963256171,153.2466303681448,120.00000000000003
46.41588833612777,2.0,24.718671688725436,35.15176418734222,59.87043587606766,160.12956412502058,119.99999999999997
68.12920690579608,2.0,23.248773763291368,31.150176768956563,54.39895053224793,165.60104946903348,119.99999999999993
