scenario,time_h,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM,target_degraded_nM,target_synthesized_nM
no_penalty,17.5,14.358624080228868,16.41350388466332,67.8766391186813,7.574552849487521,9.074903274589307,10.623010456216898,6.898488992404149,2.5114744846320853,3.015483674022974,87.75300014619316,43.75000000000002
no_penalty,17.75,14.28534254237928,16.23178175183022,68.00403121804511,7.573025782259452,9.045620263133845,10.523374301080477,6.928846481613169,2.507123442465084,2.9910042942092385,88.7907534054487,44.37500000000003
no_penalty,18.0,14.212993934518957,16.053372743431442,68.12980342570289,7.571512310290185,9.016495201279291,10.42521368330799,6.958922392726183,2.5027399895887315,2.966825307942235,89.82235914047858,45.00000000000003
no_penalty,18.25,14.141578038353515,15.87821387794562,68.25396553088001,7.570012510482206,8.987538056697868,10.328508922904314,6.988715502513993,2.4983281311721006,2.9429438563792507,90.84788911709477,45.62500000000003
no_penalty,18.5,14.071093877225964,15.706243628935793,68.3765275946256,7.568526453601933,8.95875816284403,10.233240696132288,7.018224706193655,2.493891698665505,2.919357142086583,91.8674147946574,46.25000000000003
no_penalty,18.75,14.00153986314818,15.537401788096078,68.49749993878478,7.567054204477729,8.930164287900713,10.139389977792222,7.047449017496386,2.489434359485504,2.8960624190880813,92.88100730503682,46.87500000000003
no_penalty,19.0,13.932913776646153,15.371629478424834,68.61689313570906,7.565595822043239,8.901764633145772,10.046938053188383,7.076387565678828,2.4849596201062307,2.873056992719328,93.88873744631681,47.50000000000003
no_penalty,19.25,13.865212800162992,15.208869119380696,68.73471799754425,7.564151359408459,8.873566854171854,9.955866507692331,7.10503959366551,2.4804708314253436,2.850338216048159,94.89067567166597,48.12500000000003
no_penalty,19.5,13.798433616063596,15.049064334323386,68.8509855644646,7.562720863886043,8.845578110482917,9.86615718893851,7.1334044580747,2.4759711973866465,2.827903481199991,95.88689207215222,48.75000000000003
no_penalty,19.75,13.73257235103344,14.892159994420286,68.96570709710906,7.561304377264583,8.817805045483977,9.777792234671526,7.161481624133563,2.471463773878637,2.805750225270486,96.8774563757888,49.37500000000003
no_penalty,20.0,13.667624708649177,14.738102096217357,69.07889406201998,7.55990193562911,8.790253854056997,9.690754019552113,7.189270667514789,2.4669514817159066,2.7838759156874144,97.86243792466814,50.00000000000003
no_penalty,20.25,13.603585914931227,14.586837803590866,69.19055812581108,7.558513569688634,8.762930261859834,9.605025182017693,7.216771269221046,2.4624371037746404,2.7622780578629134,98.84190567650994,50.625000000000036
no_penalty,20.5,13.540450807908714,14.43831536371518,69.30071114161555,7.557139304728447,8.735839572739959,9.520588590372913,7.243983215565101,2.4579232952325087,2.7409541850212182,99.81592818555667,51.250000000000036
