degrader_total_nM,penalty_kcal_mol,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM
0.01,4.0,29.99583889161465,69.998045792877,0.0027749510551100046,19.995549732413206,0.0008323698478119579,0.0019424115102858245,0.001109733436549292,0.0033287385375370426,1.1795612705879652e-05
0.014677992676220698,4.0,29.99389276960704,69.99713143784804,0.0040733801749594425,19.993468402055544,0.0012217652817757669,0.002851249275029605,0.0016288199563522221,0.004885465111182456,1.731287692120499e-05
0.021544346900318832,4.0,29.991036762661416,69.99578914234742,0.005979570222616315,19.990414005790655,0.001793335103714014,0.00418544736464111,0.0023906816865359587,0.007169902234872133,2.5410287939302683e-05
0.03162277660168379,4.0,29.986845815229263,69.99381847860536,0.008778243057599918,19.985932012178232,0.0026323182109685545,0.0061442275113472635,0.0035088273787113504,0.010521866559767232,3.729388328947626e-05
0.046415888336127774,4.0,29.980696709331227,69.99092498493432,0.012887788359800586,19.979356031047487,0.0038638487406923074,0.009020282283125127,0.005149794241864909,0.015439441928081218,5.473278256366766e-05
0.06812920690579612,4.0,29.9716761461864,69.98667586103076,0.01892334145469182,19.969709594811707,0.00567164261683727,0.013243817645971226,0.007557872668273147,0.022652211196759642,8.032132326324677e-05
0.1,4.0,29.958446728692216,69.98043457433252,0.02779000078625849,19.955563016686146,0.008325452581454397,0.019447563318434117,0.011091302238478777,0.033227818726329114,0.00011786234904747219
0.1467799267622069,4.0,29.93905218478246,69.97126409533688,0.04082101190912705,19.934825487254052,0.01222142405782981,0.028562978049324204,0.01627519497243134,0.048726391159713105,0.00017292661380475478
0.21544346900318834,4.0,29.910635624877532,69.95778319449069,0.059983516646759626,19.904444637270714,0.01794145109920003,0.04196313852817133,0.023878771724884666,0.07142292402326535,0.00025366698113626457
0.31622776601683794,4.0,29.869034889698398,69.937951939192,0.08818682923051052,19.859975680248585,0.026340554790979933,0.06167606224393177,0.03502776567672348,0.10462455551062334,0.0003719985640689134
0.46415888336127775,4.0,29.8082075868015,69.90874922705429,0.12974838698194938,19.79497064663415,0.038675668532106,0.09070547448135895,0.05136731023511633,0.1531167446663981,0.0005452984643488728
0.6812920690579611,4.0,29.719427531630256,69.86568332191788,0.1911064801511648,19.70012801120029,0.056795751876774776,0.13351784823007665,0.07529644245495709,0.2237767164929665,0.0007988298520214301
1.0,4.0,29.590190580787418,69.80203948489765,0.2819278226873415,19.56214217283192,0.08342298003344878,0.19679137011113035,0.11030224299773446,0.32638643917912874,0.001169144991216144
1.467799267622069,4.0,29.402787028558983,69.7077052731553,0.41686351132795,19.362219722009225,0.12256949043553,0.29058598786781376,0.16142805800840102,0.474643481005488,0.0017087389768897364
2.154434690031882,4.0,29.13257352413989,69.5673034617309,0.6184002986947625,19.07432594275475,0.18015592169075237,0.43020441240123575,0.23591137720801592,0.6872705541693622,0.002492125867872571
3.1622776601683795,4.0,28.746173999143675,69.35717188704312,0.9216134553375082,18.66346943099252,0.26492860747084035,0.6392050283525529,0.3440100910176595,0.9888973933854892,0.003623084604329956
4.6415888336127775,4.0,28.200257792257943,69.04041760436084,1.3822928974897104,18.084855013355426,0.3898101605361702,0.9543407889423157,0.49997133274184774,1.409932047205888,0.005241606696846664
6.812920690579608,4.0,27.44228070903584,68.5588333826065,2.091109783665482,17.285677782283884,0.5738482167675937,1.4336404724306009,0.7229249985564578,1.983871074196564,0.007526144962907961
10.0,4.0,26.415505933142,67.82010047647354,3.1984894599210865,16.212605398425353,0.8448971730563761,2.169218765447897,1.0371169496944639,2.7395968938016244,0.010680758078558745
14.67799267622069,4.0,25.07080760872227,66.67930387527815,4.957773134344556,14.828542836008557,1.2429537641884436,3.305808613696509,1.4703310258768132,3.6862386270892826,0.014887511025345194
21.54434690031882,4.0,23.384778382118288,64.91769230669782,7.797732935053193,13.138976874101878,1.8234825656916371,5.062108273675868,2.0490846540817294,4.791739052190075,0.020199419626319146
31.622776601683793,4.0,21.375495149849485,62.232168306708154,12.439641614321111,11.217358708740559,2.6590349899278674,7.741458706175621,2.7907984439203277,5.965469860222646,0.026372987116217137
46.41588833612777,4.0,19.100615725063022,58.265322494879015,20.083918439992217,9.20614203629237,3.8361520837579857,11.70195984866994,3.697908116077597,7.063232191178993,0.032717656451043936
68.12920690579608,4.0,16.635347687139156,52.71494710503028,32.717348354984125,7.277718981550538,5.442644652864113,17.246932879498374,4.762153342981385,7.922007659996737,0.03812001547134543
100.0,4.0,14.057667064792035,45.54030035179226,53.61922202326377,5.575188493714552,7.537611714762067,24.41835475568866,5.978745393320521,8.4047212204459,0.04134489251907531
146.77992676220674,4.0,11.467068278699225,37.19445864432358,88.08842143225294,4.173665581367953,10.101159431264767,32.764011480056794,7.353032252976584,8.431772290036008,0.041529875619620585
215.44346900318823,4.0,9.008126206948832,28.647184906495895,144.2172407728799,3.0792224619454815,12.99127106100029,41.31417963125329,8.88153934375303,8.000602732050881,0.03863546225081198
316.22776601683796,4.0,6.837980713714915,20.97798003583456,233.5234729922757,2.2525045639543393,15.968290045209072,48.98850754330711,10.52025377411138,7.193729241076015,0.03351242085833396
464.1588833612773,4.0,5.053394081574815,14.829051236486798,371.86143080669535,1.6376930845209012,18.79162353604497,55.143522103057755,12.179897872643453,6.154982382380211,0.027426660455439986
681.2920690579608,4.0,3.662850220239866,10.26880964799044,581.466997779719,1.1829330984390238,21.298265208796575,59.70973916788414,13.756731146472,5.0388845709635595,0.02145118412541786
1000.0,4.0,2.6174551449500547,7.037166029954698,894.488307272536,0.8477647935171931,23.412830219681645,62.946627301299706,15.166313902368902,3.9697146353683026,0.016206668745607365
1467.7992676220676,4.0,1.8499290174617216,4.7999840085731735,1358.0897736188813,0.6022947579388923,25.12369680535589,65.18809195577391,16.359407029221384,3.0263741771823893,0.01192403565290367
2154.4346900318824,4.0,1.2959526483198156,3.2680662372475138,2041.676410596227,0.4242175261300096,26.459159513242756,66.72333744854221,17.322298321222583,2.24488783843743,0.008596314210266258
3162.2776601683795,4.0,0.9014366419338843,2.22391047111921,3047.3343506098226,0.29646659330298986,27.46978843863492,67.76998771322442,18.06865667160946,1.6287749194311907,0.006101815656365979
4641.588833612773,4.0,0.623521598990916,1.5133890882321641,4525.097378006927,0.2058338720356301,28.214959527244805,68.4823299506366,18.628366293068865,1.1615188737642783,0.004280961131228899
6812.920690579608,4.0,0.42944775203510666,1.0300734365351667,6695.342910387781,0.14216823271935727,28.75299961970221,68.96694880484506,19.037301380398176,0.817552628262683,0.0029777586197813847
10000.0,4.0,0.2948412250240932,0.7012651217632351,9881.665907133696,0.09780840292898442,29.135224813381164,69.2966764558972,19.33019921309082,0.569933961594746,0.0020584223395664616
