alpha,Kd_E_nM,Kd_T_nM,peak_EPT_nM,optimal_total_P_nM
10.0,15.848931924611142,0.15848931924611134,87.07752436796794,101.58489319246111
10.0,19.952623149688808,0.15848931924611134,85.7536360114043,101.77827941003892
10.0,25.11886431509582,0.15848931924611134,84.29306181426992,101.99526231496888
10.0,31.622776601683793,0.15848931924611134,82.68510707574195,102.23872113856834
10.0,39.810717055349734,0.15848931924611134,80.91913764996323,102.51188643150958
10.0,50.11872336272725,0.15848931924611134,78.98486698172792,102.81838293126447
10.0,63.095734448019364,0.15848931924611134,76.8727215019814,103.16227766016837
10.0,79.43282347242821,0.15848931924611134,74.5742942283852,103.54813389233576
10.0,100.0,0.15848931924611134,72.0828939487444,103.98107170553497
10.0,125.89254117941675,0.15848931924611134,69.39419264511652,104.46683592150964
10.0,158.48931924611142,0.15848931924611134,66.50696601060325,105.01187233627272
10.0,199.52623149688807,0.15848931924611134,63.42391013104129,105.62341325190349
10.0,251.18864315095823,0.15848931924611134,60.1525008891457,106.30957344480194
10.0,316.22776601683796,0.15848931924611134,56.705841103459,107.07945784384137
10.0,398.1071705534973,0.15848931924611134,53.10341455051273,107.94328234724281
10.0,501.18723362727246,0.15848931924611134,49.37163830564799,108.91250938133746
10.0,630.9573444801937,0.15848931924611134,45.54408034859423,110.0
10.0,794.3282347242822,0.15848931924611134,41.661196391652844,111.22018454301963
10.0,1000.0,0.15848931924611134,37.7694495906146,112.58925411794168
10.0,0.1,0.19952623149688797,97.61638862650146,100.14125375446227
10.0,0.12589254117941673,0.19952623149688797,97.49736035577799,100.15848931924612
10.0,0.15848931924611134,0.19952623149688797,97.36398230750027,100.1778279410039
10.0,0.19952623149688797,0.19952623149688797,97.21454833281787,100.19952623149689
10.0,0.251188643150958,0.19952623149688797,97.04715560331914,100.22387211385683
10.0,0.31622776601683794,0.19952623149688797,96.85968355154594,100.25118864315095
10.0,0.3981071705534973,0.19952623149688797,96.6497709867219,100.28183829312644
10.0,0.5011872336272724,0.19952623149688797,96.41479134924815,100.31622776601684
10.0,0.6309573444801934,0.19952623149688797,96.1518261085484,100.35481338923357
10.0,0.7943282347242815,0.19952623149688797,95.85763636552592,100.3981071705535
10.0,1.0,0.19952623149688797,95.528632797432,100.44668359215096
10.0,1.2589254117941675,0.19952623149688797,95.16084418446066,100.50118723362728
10.0,1.584893192461114,0.19952623149688797,94.74988489005237,100.56234132519035
10.0,1.9952623149688797,0.19952623149688797,94.29092183808096,100.6309573444802
10.0,2.511886431509581,0.19952623149688797,93.77864174847198,100.70794578438414
10.0,3.1622776601683795,0.19952623149688797,93.20721966836928,100.79432823472428
10.0,3.981071705534973,0.19952623149688797,92.57029018002989,100.89125093813375
10.0,5.011872336272725,0.19952623149688797,91.86092309155141,101.0
10.0,6.309573444801933,0.19952623149688797,91.07160593523369,101.12201845430197
10.0,7.943282347242818,0.19952623149688797,90.19423622337109,101.25892541179417
10.0,10.0,0.19952623149688797,89.22012715309235,101.41253754462275
10.0,12.589254117941675,0.19952623149688797,88.14003131651184,101.58489319246111
10.0,15.848931924611142,0.19952623149688797,86.94418795751211,101.77827941003892
10.0,19.952623149688808,0.19952623149688797,85.6224004053646,101.99526231496888
10.0,25.11886431509582,0.19952623149688797,84.16415146913386,102.23872113856834
10.0,31.622776601683793,0.19952623149688797,82.55876572257868,102.51188643150958
10.0,39.810717055349734,0.19952623149688797,80.7956286250332,102.81838293126445
10.0,50.11872336272725,0.19952623149688797,78.86447311859443,103.16227766016839
10.0,63.095734448019364,0.19952623149688797,76.75574443224275,103.54813389233576
10.0,79.43282347242821,0.19952623149688797,74.46105290698836,103.98107170553497
10.0,100.0,0.19952623149688797,71.97372218837457,104.46683592150964
10.0,125.89254117941675,0.19952623149688797,69.2894354163027,105.01187233627272
10.0,158.48931924611142,0.19952623149688797,66.4069742464069,105.62341325190349
10.0,199.52623149688807,0.19952623149688797,63.329033777378115,106.30957344480194
10.0,251.18864315095823,0.19952623149688797,60.06307997794718,107.07945784384138
10.0,316.22776601683796,0.19952623149688797,56.622194714270506,107.94328234724281
10.0,398.1071705534973,0.19952623149688797,53.02582768787617,108.91250938133746
10.0,501.18723362727246,0.19952623149688797,49.30034697457378,110.0
10.0,630.9573444801937,0.19952623149688797,45.47925546874281,111.22018454301964
10.0,794.3282347242822,0.19952623149688797,41.602927639474586,112.58925411794168
10.0,1000.0,0.19952623149688797,37.717730744270625,114.12537544622754
10.0,0.1,0.251188643150958,97.44829928800384,100.15848931924612
10.0,0.12589254117941673,0.251188643150958,97.32947728609471,100.1778279410039
10.0,0.15848931924611134,0.251188643150958,97.19633044621521,100.19952623149689
10.0,0.19952623149688797,0.251188643150958,97.04715560331914,100.22387211385683
