time_day,mean_eob,sem_eob,mean_targeted_effect,mean_mab_effect,mean_combo_effect
15.75,0.05243429474567043,0.002548417607289017,0.2199665457967038,0.31089556264698803,0.5149710278041859
16.0,0.054287598833036486,0.0026379270751172943,0.22479944983524494,0.3166073749547689,0.524574766304621
16.25,0.05613054630828997,0.0027275154109967265,0.22958510596045847,0.32228718636433057,0.5340558199372076
16.5,0.05795757301168378,0.0028172222489062726,0.2343222397958688,0.3279332278211145,0.5434076788793508
16.75,0.05976759062493885,0.0029069375597007806,0.23901049775554248,0.333543843260321,0.5526290949564597
17.0,0.06156013590964716,0.0029965433753454556,0.24364970613867162,0.33911748630916777,0.5617196837035283
17.25,0.0633326912702941,0.0030860060642601173,0.24823893152777124,0.3446527168588524,0.570676592688703
17.5,0.06508039332829108,0.0031753718693805734,0.25277730974636525,0.3501481974713731,0.5794947551744168
17.75,0.06680261955973149,0.003264545663106177,0.2572649783872711,0.3556026896069099,0.5881741359203932
18.0,0.06849933403153372,0.0033534224506251357,0.26170223302253315,0.36101504968703396,0.5967154726313714
18.25,0.07016858778288734,0.003441974134316837,0.2660885323071315,0.36638422502940976,0.60511710573378
18.5,0.07180625284227785,0.0035302450414021053,0.27042330540646053,0.37170924970677616,0.6133752274371649
18.75,0.07341215720529708,0.0036181465967981496,0.27470705120588873,0.37698924038790255,0.6214907748658773
19.0,0.07498666384365846,0.003705580446055373,0.27894040668643766,0.3822233922202555,0.6294653615890651
19.25,0.07652837269560192,0.0037925197543935314,0.28312310620591186,0.38741097480787673,0.637298298602557
19.5,0.07803387832978965,0.003879004396833885,0.2872547695583949,0.39255132832781064,0.644986840053551
19.75,0.07950340711962844,0.003964950721526356,0.2913361456680942,0.39764385981510614,0.652532657825012
20.0,0.08093766086606373,0.004050266409617929,0.29536810652523926,0.40268803963523114,0.659938006417157
20.25,0.08233573247873477,0.0041349263991039015,0.29935056895793805,0.4076833981515069,0.6672029536835988
20.5,0.08369488277964938,0.004218967798178259,0.3032832649262045,0.41262952258526314,0.6743256209320312
20.75,0.0850156592823285,0.004302313429220695,0.3071671091818005,0.4175260540581476,0.6813082005054147
21.0,0.08629902374646432,0.004384878591611933,0.31100313010275643,0.4223726848023706,0.6881533825451233
21.25,0.08754448249862933,0.004466642135741248,0.31479136068321006,0.42716915552240314,0.6948618008826631
21.5,0.08874987709241676,0.004547641247432244,0.3185315918455285,0.4319152528914032,0.7014322633940434
21.75,0.08991599201092416,0.004627806847179154,0.32222484525024586,0.4366108071660185,0.7078673039295428
22.0,0.09104396971311206,0.004707063037702535,0.32587225080078625,0.4412556899067126,0.7141698818552021
22.25,0.09213364629036999,0.004785394119821921,0.3294739124851735,0.44584981179352623,0.7203410371141834
22.5,0.09318335150906147,0.0048628393429314305,0.3330296452297249,0.4503931205296873,0.7263801073297009
22.75,0.0941940338215405,0.00493933816915196,0.33654053637228665,0.4548855988265649,0.7322898291027109
23.0,0.09516695123302814,0.005014823538114851,0.3400077785480631,0.4593272624658396,0.7380733049461441
23.25,0.09610219669517328,0.005089285599787321,0.34343151532155825,0.46371815843563774,0.7437318547161992
23.5,0.09699850491688408,0.005162766460338807,0.3468115621539339,0.4680583631375193,0.7492652180095241
23.75,0.09785693229781241,0.005235213616439013,0.3501490425504288,0.47234798066043915,0.7546762316952218
24.0,0.09867880302135373,0.005306568121496955,0.35344518396246954,0.47658714111854455,0.7599680489567666
24.25,0.09946440744315152,0.005376825650258649,0.3567001473942206,0.480775999049888,0.7651421725897761
24.5,0.100212814961293,0.005446031226211796,0.3599137330146089,0.4849147318729728,0.7701986431779758
24.75,0.10092514649773988,0.005514139489825302,0.3630870792740771,0.4890035383977382,0.7751403219392746
25.0,0.10160275355798498,0.0055810986363765734,0.36622142825418535,0.4930426373886592,0.7799703438479374
25.25,0.102246074628685,0.005646909263651037,0.3693169426316097,0.49703226617848345,0.7846903194273136
25.5,0.10285445442036995,0.005711619057519835,0.37237339640653744,0.5009726793312529,0.7893005101617299
25.75,0.10342904258072474,0.0057751888662819625,0.3753919274044701,0.5048641473533216,0.7938037436822668
26.0,0.10397118556328941,0.005837573068933207,0.3783737773779481,0.5087069554519723,0.7982030840627921
26.25,0.10448142817606261,0.005898776543354181,0.38131909902282723,0.5125014023419763,0.8025001903364665
26.5,0.10495933964779411,0.005958849301164851,0.3842276323046329,0.5162477991001029,0.8066954807119211
26.75,0.10540606802184892,0.006017757560002696,0.38710050271097474,0.5199464680673627,0.8107917045122498
27.0,0.10582292743527867,0.006075461043693772,0.3899389404013558,0.523597741799102,0.8147918146557558
27.25,0.10621053350039794,0.0061319683416467,0.39274307937328756,0.5272019620634483,0.8186974722277672
27.5,0.10656863639745112,0.006187331501622865,0.3955126198812055,0.5307594788878902,0.8225092007856196
27.75,0.10689835725092678,0.006241521420069539,0.39824866649254254,0.5342706496533836,0.8262296376503653
28.0,0.10720095556674075,0.006294502476998687,0.40095242965223643,0.53773583823549,0.829861595002498
28.25,0.107476507982091,0.006346301373759076,0.40362401856509755,0.5411626088484481,0.8334104631168293
28.5,0.1077242121503016,0.006396986894384231,0.40626308989801446,0.544559008673644,0.8368806896075444
28.75,0.10794507672985276,0.006446531609104657,0.40887072219702003,0.547924902520259,0.8402742901768689
29.0,0.10814024105001784,0.006494901718046264,0.41144810060851017,0.5512601681374556,0.8435934605363461
29.25,0.10831032620743429,0.006542109461884969,0.4139953058111233,0.5545647049839022,0.8468393276286172
29.5,0.10845526556392418,0.006588207259443204,0.41651194982187645,0.557838433112811,0.8500120698721354
29.75,0.10857603434327254,0.006633171251851033,0.4189990809768894,0.5610812920968978,0.8531136480006897
30.0,0.10867371533629716,0.006676971250667626,0.4214578573040925,0.5642932399930776,0.8561461833766475
30.25,0.10874893977885809,0.006719621735225522,0.423888329606621,0.5674742523468419,0.8591108052514889
30.5,0.10880172520009727,0.006761175916197896,0.42629006494329774,0.5706243212357698,0.8620077646157936
30.75,0.10883299282710199,0.006801613038109139,0.42866408125196803,0.5737434543516126,0.8648389437617178
31.0,0.10884375235233289,0.0068409060587570035,0.4310115086685652,0.576831674120477,0.8676063645301987
31.25,0.1088346262313908,0.006879071419483428,0.43333236845822065,0.579889016861056,0.8703111317563095
31.5,0.10880569447101106,0.006916163073104265,0.43562618441404394,0.5829155319802056,0.8729535409711835
31.75,0.10875781233717953,0.006952163041545564,0.43789394514500857,0.5859112812050611,0.8755353779509727
32.0,0.10869190725575488,0.006987047098573159,0.44013675425019794,0.5888763378508532,0.8780585503220376
32.25,0.10860858081525658,0.0070208334932956445,0.4423546052929084,0.5918107861238399,0.8805241212434528
32.5,0.10850795990942379,0.00705357696463208,0.4445469815729644,0.5947147204581085,0.8829324111181919
32.75,0.10839082779389914,0.007085262066259184,0.44671484479690754,0.5975882448848124,0.8852850994159965
33.0,0.10825802580742831,0.007115867122023833,0.4488592746124114,0.600431472432369,0.8875839724190258
33.25,0.10811012727330263,0.0071454120725032814,0.45098023969395745,0.6032445245563253,0.889830041026221
33.5,0.10794729447642293,0.007173952492187309,0.4530771863451625,0.6060275305971142,0.8920236366741033
33.75,0.10777023642772406,0.007201475226798602,0.4551510525498652,0.6087806272637686,0.8941663282799821
34.0,0.10757970793772591,0.007227960879596396,0.45720289717010376,0.6115039581418122,0.8962597786130938
34.25,0.10737624966867465,0.0072534309363200536,0.4592326671545047,0.6141976732238249,0.8983049401286329
34.5,0.10716005050604105,0.007277941796836917,0.46123977542926897,0.6168619284609741,0.9003021453533634
