regimen,dose_mg,daily_dose_mg,coverage_24h_pct,cmax_ss_mg_l,ctrough_ss_mg_l,feasible,status
QD,752.1212121212121,752.1212121212121,100.0,8.134731132598864,5.200431128950407,False,converged
QD,760.1010101010102,760.1010101010102,100.0,8.221038379372342,5.2556062644845305,False,converged
QD,765.3619294736754,765.3619294736754,100.0,8.277939001130122,5.291982115120821,False,converged
QD,768.0808080808081,768.080808080808,100.0,8.307345626145818,5.310781400018653,False,converged
QD,776.0606060606061,776.0606060606061,100.0,8.393652872919295,5.365956535552777,False,converged
QD,784.040404040404,784.040404040404,100.0,8.479960119692771,5.421131671086901,False,converged
QD,792.0202020202021,792.020202020202,100.0,8.56626736646625,5.476306806621024,False,converged
QD,800.0,800.0,100.0,8.652574613239725,5.531481942155147,False,converged
BID,10.0,20.0,0.0,0.18680883882641897,0.1481256630979354,False,converged
BID,10.452571119524391,20.905142239048782,0.0,0.19526326735889135,0.15482940281578794,False,converged
BID,10.925624300871537,21.851248601743077,0.0,0.20410031890995173,0.16183653443255133,False,converged
BID,11.420086503006369,22.840173006012737,0.0,0.21333730989238792,0.16916078858936007,False,converged
BID,11.936926636379466,23.873853272758932,0.0,0.2229923404098199,0.1768165173365116,False,converged
BID,12.477157461530144,24.95431492306029,6.661065497100121,0.23308432972428353,0.1848187222566505,False,converged
BID,13.0,26.0,12.670896098670871,0.24285149047434465,0.19256336202731603,False,converged
BID,13.041837573614824,26.083675147229645,13.247448509852964,0.24363305332897467,0.1931830838607265,False,converged
BID,13.632073476749436,27.26414695349887,25.334914909770585,0.25465918169879864,0.2019259923143288,False,converged
BID,14.0,28.0,39.62713434340856,0.26153237435698656,0.20737592833710958,False,converged
BID,14.249021752230561,28.498043504461123,51.92636843391361,0.2661843207946577,0.21106457955460572,False,converged
BID,14.893891324883999,29.787782649768,85.0752163786182,0.27823105440084545,0.220616752860703,False,converged
BID,15.0,30.0,90.44273777756887,0.28021325823962845,0.2221884946469031,True,converged
BID,15.567945831981735,31.135891663963474,100.0,0.2908229883785097,0.23060122994350343,True,converged
BID,16.0,32.0,100.0,0.29889414212227033,0.23700106095669665,True,converged
BID,16.272506099369238,32.545012198738476,100.0,0.3039847969218987,0.24103757562342668,True,converged
BID,17.0,34.0,100.0,0.3175750260049122,0.2518136272664902,True,converged
BID,17.00895272965514,34.01790545931028,100.0,0.3177422709080326,0.2519462401681606,True,converged
BID,17.778728807534897,35.557457615069794,100.0,0.33212236843453985,0.2633485993654473,True,converged
BID,17.97979797979798,35.95959595959596,100.0,0.33587851829396537,0.26632694981244953,True,converged
BID,18.583342727549557,37.16668545509911,100.0,0.347153267644691,0.27526699640944735,True,converged
BID,19.42437114982081,38.84874229964162,100.0,0.36286442194314183,0.2877247856827614,True,converged
BID,20.303462089553978,40.606924179107956,100.0,0.37928661771057964,0.3007463785198976,True,converged
BID,21.222338146363025,42.44467629272605,100.0,0.3964520346303693,0.3143572910418633,True,converged
BID,22.0,44.0,100.0,0.4109794454181217,0.3258764588154579,True,converged
BID,22.182799879745495,44.365599759491,100.0,0.4143943087454082,0.32858419415561035,True,converged
BID,23.18672933732169,46.37345867464338,100.0,0.43314859836875275,0.3434549658163128,True,converged
BID,24.23609374275176,48.47218748550352,100.0,0.45275165297716946,0.35899874565488277,True,converged
BID,25.332949350557282,50.665898701114564,100.0,0.473241885222609,0.37524599207777093,True,converged
BID,25.95959595959596,51.91919191919192,100.0,0.4849481977615118,0.3845282365269636,True,converged
BID,26.479445475400922,52.958890950801845,100.0,0.49465944620271196,0.3922285419509387,True,converged
BID,27.677828703719648,55.35565740743929,100.0,0.5170463041378396,0.4099796729849543,True,converged
BID,28.93044729596432,57.86089459192865,100.0,0.5404463266088007,0.42853416894345875,True,converged
BID,30.239755788071914,60.47951157614383,100.0,0.5649053665164196,0.44792838780277827,True,converged
BID,31.608319801187104,63.21663960237421,100.0,0.5904713519313869,0.46820033299624414,True,converged
BID,33.03882106905794,66.07764213811588,100.0,0.6171943800104539,0.48938972788282464,True,converged
BID,33.93939393939394,67.87878787878788,100.0,0.6340178772290582,0.5027295232414777,True,converged
BID,34.0,68.0,100.0,0.6351500520098244,0.5036272545329804,True,converged
BID,34.5340626929569,69.0681253859138,100.0,0.6451268151630034,0.5115380935859913,True,converged
BID,36.0969746344246,72.1939492688492,100.0,0.6743233916603558,0.5346888303553498,True,converged
