time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
24.425,0.45321428571428574,4.892233162637023e-08,1.1300748637065648e-06,9.68408661067349e-06,3.89358158780273e-05,8.186757936855481e-05,9.677341630047839e-05,6.950938133936825e-05,3.6927101930234734e-05,0.00023717532661208867,0.0005720517052347586
24.43,0.45300000000000007,4.890050761073959e-08,1.129521317757548e-06,9.678698949623034e-06,3.8910425001004745e-05,8.180237319904369e-05,9.66732927716441e-05,6.940531448388823e-05,3.682417432992863e-05,0.000233458574794414,0.0005679312753549147
24.435000000000002,0.45278571428571424,4.8878698198657125e-08,1.1289681785400412e-06,9.673315785032977e-06,3.888505896524288e-05,8.173724496032884e-05,9.657332474384599e-05,6.930148178625621e-05,3.67216806226912e-05,0.0002297781939539962,0.000563848147694133
24.44,0.45257142857142857,4.88569033770934e-08,1.128415445655555e-06,9.66793711189933e-06,3.885971773833131e-05,8.167219452818188e-05,9.647351189483163e-05,6.919788254261143e-05,3.661961834895905e-05,0.00022613461677370046,0.0005598027512875478
24.445,0.4523571428571429,4.883512313303356e-08,1.1278631187060882e-06,9.662562925225043e-06,3.8834401287912446e-05,8.160722177862192e-05,9.637385390318394e-05,6.909451605174275e-05,3.65179850667498e-05,0.00022252824863784815,0.0005557954878931232
24.45,0.45214285714285724,4.881335745347714e-08,1.1273111972941255e-06,9.65719322002001e-06,3.88091095816815e-05,8.154232658791514e-05,9.62743504483185e-05,6.89913816150771e-05,3.6416778351510284e-05,0.00021895946793886316,0.0005518267322981333
24.455000000000002,0.4519285714285714,4.8791606325438235e-08,1.126759681022639e-06,9.651827991301085e-06,3.87838425873863e-05,8.147750883257423e-05,9.617500121048121e-05,6.888847853666705e-05,3.6315995795965665e-05,0.00021542862640059078,0.0005478968326423143
24.46,0.45171428571428573,4.876986973594547e-08,1.1262085694950871e-06,9.646467234092044e-06,3.875860027282736e-05,8.141276838935765e-05,9.607580587074572e-05,6.878580612317982e-05,3.621563500997068e-05,0.00021193604941762282,0.0005440061107570271
24.465,0.45150000000000007,4.8748147672041795e-08,1.1256578623154136e-06,9.641110943423571e-06,3.873338260585748e-05,8.134810513526919e-05,9.597676411101054e-05,6.868336368388435e-05,3.611569362036164e-05,0.00020848203640987312,0.0005401548625196674
24.47,0.4512857142857144,4.872644012078472e-08,1.1251075590880457e-06,9.635759114333257e-06,3.8708189554381925e-05,8.128351894755722e-05,9.587787561399673e-05,6.858115053064035e-05,3.601616927081061e-05,0.0002050668611917409,0.0005363433582226698
