permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
Low permeability,3.8000000000000003,5126096.298884864,128540.24190410954,776425.6550573735,95034.10303826681,11377.269202778993,95034.10303826681,13207.433816466784,51197.342343499615,101.46296322350787,1521.9444483526177
Low permeability,3.9000000000000004,5122990.636182204,126878.41437366324,775651.0691330562,97470.51649301502,11877.775510265117,97470.51649301502,14150.76268119333,54800.45161288422,112.06073870115728,1680.9110805173586
Low permeability,4.0,5120017.070503846,125384.92679107639,774748.5858128989,99866.48739574771,12381.730495984011,99866.48739574771,15126.88579124601,58522.994079620774,123.39110622893007,1850.8665934339504
Low permeability,4.1000000000000005,5117160.363561227,124043.93418678468,773734.0425810231,102222.02323190392,12888.843008450365,102222.02323190392,16135.487617107787,62363.32826501632,135.47778926253278,2032.166838937991
Low permeability,4.2,5114406.770517415,122841.08572528808,772621.7082798516,104537.20599455925,13398.837845036765,104537.20599455925,17176.237362836742,66319.75697882473,148.34417727267245,2225.162659090086
Low permeability,4.3,5111743.895859056,121763.38162956989,771424.4346903726,106812.18367974601,13911.454699185904,106812.18367974601,18248.79107132831,70390.53590338894,162.01331546220376,2430.199731933056
Low permeability,4.4,5109160.563461346,120799.04417737822,770153.793203173,109047.16261912874,14426.447177584841,109047.16261912874,19352.793538449292,74573.88138697627,176.50789613478534,2647.618442021779
Low permeability,4.5,5106646.699670881,119937.40160767062,768820.1978110033,111242.40058099729,14943.581887974759,111242.40058099729,20487.88004881531,78867.97750173968,191.85025144285476,2877.753771642821
Low permeability,4.6000000000000005,5104193.227119026,119168.78265604042,767433.0168218368,113398.200521794,15462.637582138246,113398.200521794,21653.677954876955,83270.98244919727,208.06234774955695,3120.9352162433534
Low permeability,4.7,5101791.969664813,118484.4221342442,766000.6728723961,115514.904993031,15983.404369349397,115514.904993031,22849.808100082606,87781.0343273866,225.16578091178945,3377.4867136768407
Low permeability,4.800000000000001,5099435.566080115,117876.37517002947,764530.7337476636,117592.89108197828,16505.682980546993,117592.89108197828,24075.88610936804,92396.2563469076,243.18177284504597,3647.726592675689
Low permeability,4.9,5097117.392234022,117337.43987496455,763029.994261325,119632.56586338181,17029.284087824344,119632.56586338181,25331.523553119452,97114.76152614012,262.1311690135814,3931.9675352037216
Low permeability,5.0,5094831.490757012,116861.08742737978,761504.5502675484,121634.36230474315,17554.027673463577,121634.36230474315,26616.32899690559,101934.65691537212,282.03443681080535,4230.516552162079
Low permeability,5.1000000000000005,5092572.507304574,116441.39869437901,759959.8657282612,123598.7355770311,18079.74244288362,123598.7355770311,27929.908946922078,106854.04738926886,302.9116648508243,4543.674972762365
Low permeability,5.2,5090335.633550156,116073.00754008275,758400.8327024109,125526.15975717767,18606.265290524374,125526.15975717767,29271.868699403625,111871.03905163005,324.7825624880697,4871.738437321045
Low permeability,5.300000000000001,5088116.554109977,115751.04799533811,756831.827188214,127417.12481611916,19133.44078120302,127417.12481611916,30641.813104159253,116983.74226704062,347.6664611904527,5214.996917856791
Low permeability,5.4,5085911.400663027,115471.1086146765,755256.7574049624,129272.13398003236,19661.12070375247,129272.13398003236,32039.347247898422,122190.27439101745,371.5823147076758,5573.734720615138
Low permeability,5.5,5083716.708672697,115229.18936832483,753679.1093248123,131091.70130653423,20189.163629222807,131091.70130653423,33464.07706640579,127488.76218376076,396.5487012294295,5948.230518441444
Low permeability,5.6000000000000005,5081529.378587682,115021.66298185546,752101.9874902411,132876.34952757478,20717.434506482405,132876.34952757478,34915.609887692255,132877.34394352578,422.5838258143218,6338.757387214828
Low permeability,5.7,5079346.641809041,114845.24104032863,750528.1508233768,134626.6081359659,21245.804307815404,134626.6081359659,36393.55492347352,138354.17144831846,449.7055218826502,6745.582828239753
Low permeability,5.800000000000001,5077166.028149417,114696.9415129628,748960.0468481757,136343.01163853286,21774.14966823214,136343.01163853286,37897.523695314216,143917.4115974635,477.9312551363041,7168.968827044562
Low permeability,5.9,5074985.337669137,114574.0606641542,747399.8413159135,138026.0980196037,22302.3525751828,138026.0980196037,39427.13041983533,149565.24790987512,507.27812620232055,7609.171893034809
Low permeability,6.0,5072802.6146431845,114474.14705936785,745849.4455815025,139676.40735880096,22830.300070611887,139676.40735880096,40981.99234557287,155295.8818140089,537.7628742112335,8066.443113168501
