scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,0.5,148.75,6.537388867140567e-14,1.4982086509737703e-15,1.0,486599.977117584
High permeability,0.5,151.25,4.18888631226045e-14,9.583819306446505e-16,1.0,503093.3385489304
High permeability,0.5,153.75,2.6838068236410844e-14,6.130264720239734e-16,1.0,519861.58933746594
High permeability,0.5,156.25,1.7193409321597136e-14,3.9209676973261085e-16,1.0,536904.7294831906
High permeability,0.5,158.75,1.1013630629200939e-14,2.507725022334033e-16,1.0,554222.7589861043
High permeability,0.5,161.25,7.05434089011495e-15,1.6037563173900647e-16,1.0,571815.677846207
High permeability,0.5,163.75,4.51792869594114e-15,1.0255758408587199e-16,1.0,589683.4860634991
High permeability,0.5,166.25,2.8932003794722182e-15,6.557932107714122e-17,1.0,607826.1836379801
High permeability,0.5,168.75,1.8525595552545867e-15,4.193085485156186e-17,1.0,626243.7705696502
High permeability,0.5,171.25,1.1860867639474145e-15,2.6807971644733397e-17,1.0,644936.2468585095
High permeability,0.5,173.75,7.592802307608376e-16,1.7137527224076514e-17,1.0,663903.6125045579
High permeability,0.5,176.25,4.859672284917409e-16,1.0953785297898587e-17,1.0,683145.8675077953
High permeability,0.5,178.75,3.109412755866323e-16,6.999383577970082e-18,1.0,702663.0118682219
High permeability,0.5,181.25,1.9883380630393338e-16,4.470025442670253e-18,1.0,722455.0455858377
High permeability,0.5,183.75,1.2698164896971992e-16,2.8511225181721378e-18,1.0,742521.9686606425
High permeability,0.5,186.25,8.085487739372976e-17,1.813252602212139e-18,1.0,762863.7810926363
High permeability,0.5,188.75,5.112451591063488e-17,1.1452227959026037e-18,1.0,783480.4828818194
High permeability,0.5,191.25,3.177953357057732e-17,7.111549688573485e-19,1.0,804372.0740281915
High permeability,0.5,193.75,1.8913816677704592e-17,4.228850380968482e-19,1.0,825538.5545317528
High permeability,0.5,196.25,9.938807090377148e-18,2.220768766098696e-19,1.0,846979.9243925032
High permeability,0.5,198.75,3.0633816835358698e-18,6.842650850764881e-20,1.0,868696.1836104424
High permeability,1.0,1.25,0.04241200649643689,0.0,1.0,0.0
High permeability,1.0,3.75,0.04181388356813412,0.0,1.0,0.0
High permeability,1.0,6.25,0.0405900098612862,0.0,1.0,0.0
High permeability,1.0,8.75,0.03868210215298101,0.0,1.0,0.0
High permeability,1.0,11.25,0.0359995863207011,0.0,1.0,0.0
High permeability,1.0,13.75,0.03241531199454988,0.0,1.0,0.0
High permeability,1.0,16.25,0.02775972958967293,0.0,1.0,0.0
High permeability,1.0,18.75,0.021813252968530396,0.0,1.0,0.0
High permeability,1.0,21.25,0.014296540299063454,0.0006438374784980926,0.9999998613801642,9941.831751672698
High permeability,1.0,23.75,0.009474430025138394,0.0004200531577634971,0.9999999107361695,12415.83596637466
High permeability,1.0,26.25,0.0063317235602373895,0.0002764856915198899,0.9999999419881747,15164.729538265727
High permeability,1.0,28.75,0.004258880458067988,0.0001832460959232008,0.9999999620249644,18188.512467345903
High permeability,1.0,31.25,0.0028790370213251392,0.00012211224591354415,0.9999999749973761,21487.184753615187
High permeability,1.0,33.75,0.0019538918422565927,8.172676155241951e-05,0.9999999834616136,25060.746397073577
High permeability,1.0,36.25,0.001330103099319043,5.488768471615087e-05,0.9999999890189973,28909.197397721073
High permeability,1.0,38.75,0.000907632435300628,3.6965312633052695e-05,0.9999999926863923,33032.53775555768
High permeability,1.0,41.25,0.0006204999325190823,2.4950814591027356e-05,0.9999999951166217,37430.767470583385
High permeability,1.0,43.75,0.00042480775030341545,1.6871466293028097e-05,0.9999999967325328,42103.8865427982
High permeability,1.0,46.25,0.0002911446340999867,1.1424583955391564e-05,0.9999999978100091,47051.89497220213
High permeability,1.0,48.75,0.00019969393540533368,7.74491343290494e-06,0.9999999985301297,52274.79275879515
High permeability,1.0,51.25,0.00013704289947328425,5.254995835077583e-06,0.9999999990123367,57772.579902577294
High permeability,1.0,53.75,9.407997086519244e-05,3.5679313440327725e-06,0.9999999993357416,63545.25640354854
High permeability,1.0,56.25,6.459731115740235e-05,2.4236614181130054e-06,0.9999999995529221,69592.82226170889
High permeability,1.0,58.75,4.4355521628290724e-05,1.646924202317821e-06,0.9999999996989221,75915.27747705833
High permeability,1.0,61.25,3.0454111721907062e-05,1.1193505360317264e-06,0.9999999997971545,82512.6220495969
High permeability,1.0,63.75,2.0905772733564765e-05,7.608556047509787e-07,0.9999999998632925,89384.85597932458
High permeability,1.0,66.25,1.434737089519583e-05,5.171799199250253e-07,0.9999999999078455,96531.97926624135
High permeability,1.0,68.75,9.843140032316762e-06,3.5151978322487155e-07,0.9999999999378701,103953.99191034725
High permeability,1.0,71.25,6.750321310030063e-06,2.3888942973133363e-07,0.99999999995811,111650.89391164223
High permeability,1.0,73.75,4.627249697796125e-06,1.6231462961188753e-07,0.9999999999717564,119622.68527012634
High permeability,1.0,76.25,3.1703766342065807e-06,1.1025799129514324e-07,0.9999999999809583,127869.36598579954
High permeability,1.0,78.75,2.1710653499343915e-06,7.487474567472019e-08,0.9999999999871636,136390.93605866184
High permeability,1.0,81.25,1.4859228731545942e-06,5.082967944430188e-08,0.9999999999913481,145187.3954887133
High permeability,1.0,83.75,1.0164133866949568e-06,3.449389714617498e-08,0.9999999999941696,154258.7442759538
High permeability,1.0,86.25,6.948427090528962e-07,2.3399048352523028e-08,0.9999999999960718,163604.98242038343
High permeability,1.0,88.75,4.747200368730898e-07,1.586627794735513e-08,0.9999999999973541,173226.10992200216
High permeability,1.0,91.25,3.2412898226541925e-07,1.0753857222879763e-08,0.9999999999982183,183122.12678081
High permeability,1.0,93.75,2.2116833479900722e-07,7.285486512459023e-09,0.9999999999988005,193293.03299680696
High permeability,1.0,96.25,1.5081668912385178e-07,4.933462560928137e-09,0.9999999999991929,203738.82856999306
High permeability,1.0,98.75,1.0277671662887143e-07,3.339173782991314e-09,0.999999999999457,214459.5135003682
High permeability,1.0,101.25,6.999342847905321e-08,2.2589984386575622e-09,0.9999999999996348,225455.08778793245
High permeability,1.0,103.75,4.763607688325224e-08,1.5274927857973797e-09,0.9999999999997545,236725.55143268587
High permeability,1.0,106.25,3.239891790553411e-08,1.0323477873960186e-09,0.999999999999835,248270.90443462835
High permeability,1.0,108.75,2.202119835514389e-08,6.973558216588818e-10,0.9999999999998892,260091.14679375992
High permeability,1.0,111.25,1.495780614791772e-08,4.708285773590194e-10,0.9999999999999256,272186.27851008065
High permeability,1.0,113.75,1.0153419673556548e-08,3.1772406281685155e-10,0.99999999999995,284556.2995835904
High permeability,1.0,116.25,6.887721487569773e-09,2.142967830796753e-10,0.9999999999999665,297201.21001428936
High permeability,1.0,118.75,4.669380170286809e-09,1.4446384220000947e-10,0.9999999999999775,310121.0098021774
High permeability,1.0,121.25,3.163480602968292e-09,9.73376094558178e-11,0.9999999999999849,323315.6989472545
High permeability,1.0,123.75,2.1418817355782634e-09,6.555118146050331e-11,0.9999999999999899,336785.27744952077
High permeability,1.0,126.25,1.4492804788183703e-09,4.4122415998312116e-11,0.9999999999999932,350529.7453089761
High permeability,1.0,128.75,9.800279757248153e-10,2.9683681584037644e-11,0.9999999999999954,364549.10252562055
High permeability,1.0,131.25,6.623021222114323e-10,1.995983568306315e-11,0.999999999999997,378843.3490994541
High permeability,1.0,133.75,4.473095220205279e-10,1.3414609944200117e-11,0.999999999999998,393412.48503047676
High permeability,1.0,136.25,3.019237224525383e-10,9.011194203302334e-12,0.9999999999999987,408256.5103186885
High permeability,1.0,138.75,2.03669632869276e-10,6.0502220770651445e-12,0.9999999999999991,423375.4249640894
High permeability,1.0,141.25,1.373087415263412e-10,4.0601914911791616e-12,0.9999999999999994,438769.2289666794
High permeability,1.0,143.75,9.251580208359894e-11,2.7233886167170627e-12,0.9999999999999996,454437.9223264585
High permeability,1.0,146.25,6.229920062101663e-11,1.825838538188817e-12,0.9999999999999998,470381.5050434267
High permeability,1.0,148.75,4.192768429498707e-11,1.2235073761157291e-12,0.9999999999999998,486599.977117584
High permeability,1.0,151.25,2.820162663852188e-11,8.194909465989517e-13,0.9999999999999999,503093.3385489304
High permeability,1.0,153.75,1.895855993831622e-11,5.486267574618125e-13,0.9999999999999999,519861.58933746594
High permeability,1.0,156.25,1.273788805529097e-11,3.6711910468647066e-13,1.0,536904.7294831906
High permeability,1.0,158.75,8.553686006167757e-12,2.455477930891709e-13,1.0,554222.7589861043
High permeability,1.0,161.25,5.740843047166102e-12,1.6415943847738774e-13,1.0,571815.677846207
High permeability,1.0,163.75,3.850940441200969e-12,1.0969777154819048e-13,1.0,589683.4860634991
High permeability,1.0,166.25,2.5818321829097585e-12,7.327104276610575e-14,1.0,607826.1836379801
