KD_apical_nM,time_h,plasma_antibody_nmol,surface_receptor_nmol,surface_complex_nmol,endosomal_receptor_nmol,endosomal_complex_nmol,endosomal_free_antibody_nmol,brain_free_antibody_nmol,systemic_cleared_nmol,lysosomal_degraded_nmol,brain_cleared_nmol
100.0,43.0,82.54643241744284,0.019125853874440293,0.004617186371622891,0.0061822670584422545,7.469269568467996e-05,0.004757840584185677,0.03613604657739253,217.38043118712068,0.008693427044032446,0.018857202163382478
100.0,43.25,81.92942396832238,0.019171142822320825,0.004593622011468558,0.00616099591042949,7.423925597124456e-05,0.004734386192305144,0.03619252996043317,217.99721271787286,0.008730512174732075,0.019038024209701115
100.0,43.5,81.31702699557164,0.01921631129334945,0.0045701234822713155,0.006139777451473207,7.378777309614521e-05,0.004710989514109877,0.03624756327736299,218.60938400277328,0.008767412564427268,0.019219125043648623
100.0,43.75,80.70920703314286,0.01926135854281694,0.004546691147860784,0.0061186120605865165,7.33382489258756e-05,0.004687650970862703,0.03630115664931026,219.2169795037129,0.008804128686712898,0.01940049744039387
100.0,44.0,80.10592987078884,0.019306283836562986,0.004523325366382589,0.006097500112062434,7.289068518210661e-05,0.004664370978696159,0.03635332016777504,219.8200334267689,0.008840661018362499,0.019582134225697236
100.0,44.25,79.50716161946411,0.01935108644545908,0.004500026495241838,0.006076441976000141,7.244508348905782e-05,0.004641149945083492,0.03640406389529631,220.41857965680413,0.00887701003911607,0.01976402827336359
100.0,44.5,78.91286855007226,0.019395765658537886,0.004476794879391648,0.006055438016995966,7.20014452646163e-05,0.00461798827711565,0.03645339786350778,221.01265191871948,0.008913176232042876,0.01994617251077096
100.0,44.75,78.32301721449389,0.019440320772899793,0.004453630860364195,0.006034488595120072,7.155977180605648e-05,0.0045948863750747936,0.036501332074445905,221.60228365642672,0.008949160083188148,0.020128559914341496
100.0,45.0,77.73757441647854,0.01948475109597094,0.0044305347742694635,0.006013594065677456,7.112006427225794e-05,0.004571844633828115,0.036547876500128154,222.18750806195686,0.00898496208160065,0.020311183510361826
100.0,45.25,77.1565072063571,0.019529055945801548,0.0044075069515444,0.005992754779161824,7.06823236823449e-05,0.004548863442980895,0.036593041082405714,222.76835808074787,0.009020582719299822,0.02049403637495466
