scenario,KD_apical_nM,initial_plasma_nM,pH_slope,receptor_nmol,plasma_AUC_nM_h,brain_AUC_nM_h,Kp_extravascular,Kp_with_vascular_contamination,lysosomal_loss_nmol
dose_sensitivity,0.1333521432163324,1.0,0.7,0.03,29.379350680415982,0.19419323587113707,0.006609854587446161,0.056609854587446155,0.010192612806777876
dose_sensitivity,0.1778279410038923,1.0,0.7,0.03,29.38081103610339,0.24075208746691895,0.008194194747417992,0.058194194747418,0.009516213221554371
dose_sensitivity,0.23713737056616552,1.0,0.7,0.03,29.382506080591455,0.2933305000033864,0.009983168188541452,0.059983168188541464,0.00875516453058861
dose_sensitivity,0.31622776601683794,1.0,0.7,0.03,29.384424731506464,0.35043016806225913,0.01192571136798612,0.06192571136798612,0.007929588131094404
dose_sensitivity,0.4216965034285822,1.0,0.7,0.03,29.386546087243456,0.4097314191381678,0.013942823287968165,0.06394282328796816,0.007068568645275835
dose_sensitivity,0.5623413251903491,1.0,0.7,0.03,29.388848026157127,0.46829773088548554,0.015934538518443588,0.06593453851844358,0.0062062607024309146
dose_sensitivity,0.7498942093324559,1.0,0.7,0.03,29.391319121967737,0.5229418108691296,0.017792389946808176,0.06779238994680817,0.005376381521205181
dose_sensitivity,1.0,1.0,0.7,0.03,29.393970065315337,0.570640340033474,0.01941351708413234,0.06941351708413235,0.004606879375352893
dose_sensitivity,1.333521432163324,1.0,0.7,0.03,29.39684072182692,0.6088649819006701,0.020711918932451563,0.07071191893245157,0.003916429544964543
dose_sensitivity,1.7782794100389228,1.0,0.7,0.03,29.40000048273349,0.6357505647841339,0.021624168515150463,0.07162416851515045,0.003313469788357736
dose_sensitivity,2.371373705661655,1.0,0.7,0.03,29.403541161854392,0.6501076732396815,0.02210984281318724,0.07210984281318722,0.0027974382930458707
dose_sensitivity,3.1622776601683795,1.0,0.7,0.03,29.407563256571386,0.6513517238991323,0.02214912259871045,0.07214912259871044,0.00236128581111181
dose_sensitivity,4.216965034285822,1.0,0.7,0.03,29.412156572884214,0.6394359639050406,0.021740533113255363,0.07174053311325537,0.001994306529413972
dose_sensitivity,5.623413251903491,1.0,0.7,0.03,29.417376656348626,0.6148463860317446,0.020900789122508423,0.07090078912250843,0.001684635279975795
dose_sensitivity,7.498942093324558,1.0,0.7,0.03,29.423220848201797,0.5786625637781218,0.0196668667500243,0.0696668667500243,0.0014211078384496758
dose_sensitivity,10.0,1.0,0.7,0.03,29.42960989999319,0.5326327016031449,0.018098530813460363,0.06809853081346037,0.0011944170333258314
dose_sensitivity,13.33521432163324,1.0,0.7,0.03,29.436382907541145,0.47917702789084216,0.016278393625871895,0.06627839362587189,0.0009976089110746676
dose_sensitivity,17.78279410038923,1.0,0.7,0.03,29.443311463803465,0.42124339611696443,0.014306930001227128,0.06430693000122713,0.0008260147256423401
dose_sensitivity,23.71373705661655,1.0,0.7,0.03,29.450132703636204,0.36199929075512594,0.012291940902202791,0.062291940902202796,0.0006767674960084677
dose_sensitivity,31.622776601683793,1.0,0.7,0.03,29.45659244821189,0.3044290299251703,0.01033483524818398,0.06033483524818398,0.0005481103430757196
dose_sensitivity,42.169650342858226,1.0,0.7,0.03,29.462484929686873,0.25096105331708424,0.008517986650345703,0.05851798665034571,0.00043872420650521775
dose_sensitivity,56.23413251903491,1.0,0.7,0.03,29.46767715813468,0.2032388908586225,0.006897010910224308,0.05689701091022432,0.00034724865166109063
dose_sensitivity,74.98942093324558,1.0,0.7,0.03,29.472113712536416,0.16208086338251163,0.005499465188123512,0.05549946518812351,0.00027206055401537955
dose_sensitivity,100.0,1.0,0.7,0.03,29.475805527363264,0.1275966901884818,0.0043288618548534665,0.054328861854853465,0.00021127047475637693
dose_sensitivity,133.3521432163324,1.0,0.7,0.03,29.478810312102596,0.09938705786265772,0.003371474520525482,0.05337147452052548,0.0001628431116770647
dose_sensitivity,177.82794100389228,1.0,0.7,0.03,29.481212017717926,0.07675355578332024,0.002603473552484616,0.05260347355248461,0.00012475068388166673
dose_sensitivity,237.13737056616552,1.0,0.7,0.03,29.483104005009345,0.05887279589176206,0.0019968316728713243,0.05199683167287132,9.510111056202396e-05
