id,turnover_half_life_h,time_since_washout_h,free_active_fraction,EI_fraction,covalent_fraction,inhibited_fraction
W04,8.0,1.867828100630638,0.15095480789957588,-1.5723989343551526e-16,0.8490451921065388,0.8490451921065387
W04,8.0,1.961578360349193,0.15782353280699707,1.9463764993953837e-17,0.842176467199068,0.842176467199068
W04,8.0,2.060034144732645,0.1649772008368416,7.475426671136745e-17,0.835022799169172,0.8350227991691721
W04,8.0,2.163431634058654,0.17242451910281253,5.342801539874114e-17,0.8275754809031474,0.8275754809031474
W04,8.0,2.2720188629946927,0.18017413987693753,-2.4960630926986946e-17,0.8198258601289667,0.8198258601289667
W04,8.0,2.386056315595016,0.18823461866541988,-6.553619098413968e-17,0.8117653813404263,0.8117653813404262
W04,8.0,2.50581755016184,0.1966143675277328,-1.0611195695218257e-18,0.8033856324780531,0.8033856324780531
W04,8.0,2.631589855469635,0.2053216050164124,-1.7086128617100943e-16,0.7946783949893109,0.7946783949893107
W04,8.0,2.763674939926655,0.2143643011390288,-3.1219870963463267e-16,0.7856356988666295,0.7856356988666292
W04,8.0,2.9023896553270276,0.2237501164425655,-2.2035244878067118e-16,0.7762498835630252,0.7762498835630249
W04,8.0,3.048066756929411,0.2334863362436393,5.742634798510025e-18,0.7665136637618809,0.7665136637618809
W04,8.0,3.201055701685707,0.24357979939988045,2.68900744942045e-17,0.756420200605567,0.756420200605567
W04,8.0,3.36172348653447,0.2540368216420785,2.2109619324048393e-17,0.7459631783632937,0.7459631783632937
W04,8.0,3.530455528770143,0.26486311267484935,3.148632439811835e-19,0.7351368873304449,0.7351368873304449
W04,8.0,3.707656590599802,0.2760636880682316,-1.0885168292512599e-18,0.723936311936982,0.723936311936982
W04,8.0,3.8937517501054253,0.28764277582020115,-7.434262879924818e-20,0.7123572241849291,0.7123572241849291
W04,8.0,4.089187420940835,0.29960371603020697,-2.3056385373652006e-18,0.7003962839748372,0.7003962839748372
W04,8.0,4.294432423209307,0.3119488571162039,-1.61486394026378e-18,0.6880511428887514,0.6880511428887514
W04,8.0,4.50997910809093,0.32467944537611315,8.891342861536126e-19,0.6753205546287504,0.6753205546287504
W04,8.0,4.736344538917262,0.33779551092050675,1.0361496511610884e-18,0.6622044890842623,0.6622044890842623
W04,8.0,4.97407173152677,0.35129574934919316,-1.4249793737662941e-19,0.6487042506554788,0.6487042506554788
W04,8.0,5.223730956876208,0.3651774001031904,-1.4304284301319056e-19,0.6348225999013816,0.6348225999013816
W04,8.0,5.48592110903297,0.379436122097485,-5.970462613796589e-19,0.6205638779069842,0.6205638779069842
W04,8.0,5.761271141829724,0.394065869473374,-8.931036570927456e-19,0.6059341305309898,0.6059341305309898
W04,8.0,6.050441577627971,0.4090587660731116,1.7967977426730334e-20,0.5909412339311443,0.5909412339311443
W04,8.0,6.354126091809483,0.4244049800790703,7.411442331243366e-20,0.575595019925075,0.575595019925075
W04,8.0,6.673053176796832,0.44009260754950885,-2.2028126467791922e-21,0.5599073924545235,0.5599073924545235
W04,8.0,7.007987889594673,0.4561075514670464,-1.4383014863901586e-20,0.5438924485368706,0.5438924485368706
W04,8.0,7.35973368704368,0.47243342049738557,-1.5831668112369161e-21,0.5275665795064137,0.5275665795064137
W04,8.0,7.72913435319,0.4890514246572731,-3.067417614432969e-21,0.5109485753464066,0.5109485753464066
W04,8.0,8.117076023393226,0.5059402957906851,1.8643471152549795e-21,0.4940597042128729,0.4940597042128729
W04,8.0,8.524489310028903,0.5230762139229712,6.399389621292765e-22,0.4769237860804634,0.4769237860804634
W04,8.0,8.9523515348843,0.5404327581174424,-5.771552905211621e-22,0.4595672418858671,0.4595672418858671
W04,8.0,9.401689073603134,0.5579808790179985,-6.180841690994744e-23,0.4420191209851847,0.4420191209851847
W04,8.0,9.873579817802668,0.57568889311966,-6.975925925385303e-24,0.4243111068833957,0.4243111068833957
W04,8.0,10.369155760770008,0.593522509950075,5.781017020492236e-23,0.4064774900528521,0.4064774900528521
W04,8.0,10.889605712939678,0.6114448925733351,-1.6783790243762834e-23,0.3885551074294629,0.3885551074294629
W04,8.0,11.436178153666996,0.629416748806935,1.0118305386488921e-24,0.37058325119573365,0.37058325119573365
W04,8.0,12.010184226138012,0.6473964673232934,1.8855659415171784e-25,0.3526035326792457,0.3526035326792457
W04,8.0,12.613000882600119,0.6653402941234562,-7.292069468233686e-27,0.3346597058789538,0.3346597058789538
W04,8.0,13.246074187458815,0.6832025540959772,-8.198978496556831e-26,0.3167974459063041,0.3167974459063041
W04,8.0,13.910922786163498,0.7009359200404799,2.592018541033153e-26,0.2990640799616737,0.2990640799616737
W04,8.0,14.609141548204462,0.7184917293931554,5.362160544927058e-28,0.28150827060887185,0.28150827060887185
W04,8.0,15.34240539295917,0.7358203496356961,-7.16059664099131e-29,0.2641796503662064,0.2641796503662064
W04,8.0,16.112473307566358,0.7528715913182132,-1.825862456873539e-29,0.24712840868356648,0.24712840868356648
W04,8.0,16.9211925664653,0.7695951679903453,-2.0234636682344557e-29,0.2304048320113139,0.2304048320113139
W04,8.0,17.770503162723205,0.7859411972601027,2.082614233246213e-29,0.21405880274143887,0.21405880274143887
W04,8.0,18.66244246177984,0.8018607400184845,-4.539668448797904e-30,0.19813925998294235,0.19813925998294235
W04,8.0,19.599150088773847,0.8173063700161027,7.068109538205484e-32,0.18269362998521296,0.18269362998521296
W04,8.0,20.582873061174354,0.832232765499035,-9.371303329767231e-32,0.16776723450217318,0.16776723450217318
