id,atom_zero_based,element,reaction_center,alpha_carbon,fplus_proxy,local_softness_eV_inv,electronic_method
W05,10,C,False,False,6.677059541161308e-05,2.5519455161610914e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,11,N,False,False,0.12409721437541786,0.047429460204925646,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,12,C,False,False,0.3746039952958041,0.1431721523880392,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,13,C,False,False,1.4920185089191824e-05,5.702435211778022e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,14,C,False,False,0.3715285614023359,0.14199673382447778,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,15,N,False,False,0.1294892306736223,0.04949026732075932,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,16,C,False,False,6.48578385672361e-05,2.4788407127304285e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,17,C,False,False,3.3386472821023066e-05,1.2760176705152678e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,18,H,False,False,1.79908188045819e-08,6.876019166429996e-09,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,19,H,False,False,3.1391787171146327e-09,1.1997815808267749e-09,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,20,H,False,False,2.0604816883050877e-09,7.875078802558745e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,21,H,False,False,4.834612549030281e-08,1.847769626857055e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,22,H,False,False,1.1378769605929745e-07,4.348920343794341e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,23,H,False,False,2.3607505073365183e-08,9.02269424861926e-09,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,24,H,False,False,3.477158769399794e-08,1.3289562083202115e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,25,H,False,False,8.155379225044291e-10,3.116953401066325e-10,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,26,H,False,False,3.143319823021212e-08,1.201364294981875e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,27,H,False,False,3.5963482939238916e-09,1.3745099690449124e-09,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W05,28,H,False,False,3.516698466933868e-08,1.344068122960244e-08,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,0,C,True,False,2.9816333173710802e-05,1.2246463160611923e-05,EHT/YAeHMOP; frozen-orbital LUMO population proxy
W06,1,C,False,True,1.2383912261133774e-05,5.086444547243778e-06,EHT/YAeHMOP; frozen-orbital LUMO population proxy
