id,concentration_M,time_s,E_fraction,EI_fraction,covalent_fraction
W08,9.085175756516881e-06,23.073294662138494,0.00256254613331755,0.9309917289774695,0.06644572488921158
W08,9.085175756516881e-06,25.661320239616494,0.002542781555790177,0.9238111136022272,0.07364610484198127
W08,9.085175756516881e-06,28.539632769511,0.0025209790732393764,0.9158901124433355,0.08158890848342375
W08,9.085175756516881e-06,31.74079240712983,0.0024969506041775456,0.9071603941152528,0.09034265528056822
W08,9.085175756516881e-06,35.301011430981106,0.0024704958750654035,0.8975491977747766,0.09998030635015656
W08,9.085175756516881e-06,39.260563884672735,0.002441402912896551,0.8869795121031816,0.11057908498392041
W08,9.085175756516881e-06,43.66424116646431,0.002409448950033888,0.8753704039798078,0.12222014707015688
W08,9.085175756516881e-06,48.56185872020745,0.0023744018366598976,0.8626375316838951,0.13498806647944359
W08,9.085175756516881e-06,54.00881955948456,0.00233602208464417,0.8486938874185921,0.14897009049676227
W08,9.085175756516881e-06,60.06674099966371,0.0022940656550560416,0.8334508100677858,0.16425512427715672
W08,9.085175756516881e-06,66.80415168761218,0.00224828765906707,0.8168193297276518,0.18093238261327974
W08,9.085175756516881e-06,74.2972668140341,0.00219844709101438,0.7987118872812033,0.19908966562778083
W08,9.085175756516881e-06,82.63085027781874,0.002144312776159339,0.7790444952564556,0.21881119196738352
W08,9.085175756516881e-06,91.89917355540695,0.002085670670931141,0.7577393900608579,0.2401749392682094
W08,9.085175756516881e-06,102.20708212213434,0.002022332656106302,0.7347282266062969,0.26324944073759515
W08,9.085175756516881e-06,113.67118148916258,0.001954146904938123,0.7099558451268798,0.2880900079681803
W08,9.085175756516881e-06,126.42115627273043,0.0018810098797504182,0.6833846296281659,0.314734360492082
W08,9.085175756516881e-06,140.60123721734945,0.0018028799003548075,0.6549994373934409,0.3431976827062026
W08,9.085175756516881e-06,156.3718327682589,0.0017197921023155546,0.6248130334298425,0.3734671744678402
W08,9.085175756516881e-06,173.91134364987732,0.001631874437425212,0.5928719035582468,0.40549622200432617
W08,9.085175756516881e-06,193.4181809771883,0.0015393641525344188,0.559262241292529,0.4391983945549348
W08,9.085175756516881e-06,215.11301072942265,0.001442623910017385,0.524115804522397,0.47444157156758376
W08,9.085175756516881e-06,239.24124997605165,0.0013421564328187539,0.48761523616590674,0.5110426074012727
W08,9.085175756516881e-06,266.07584309299506,0.0012386162207920278,0.4499983208007977,0.5487630629784084
W08,9.085175756516881e-06,295.9203493742611,0.0011328165586774286,0.41156053071403664,0.587306652727284
W08,9.085175756516881e-06,329.1123769668144,0.0010257297608770282,0.3726551148304141,0.6263191554087069
W08,9.085175756516881e-06,366.02740197416,0.0009184785278275391,0.33368995841963833,0.6653915630525321
W08,9.085175756516881e-06,407.08301593125015,0.0008123162915896867,0.2951204425053844,0.7040672412030239
W08,9.085175756516881e-06,452.74364969915933,0.0007085948398870771,0.2574376814421154,0.7418537237179955
W08,9.085175756516881e-06,503.5258272173468,0.0006087182875753993,0.2211518004136168,0.7782394812988056
W08,9.085175756516881e-06,560.0040085452007,0.0005140837273069684,0.1867703733858931,0.8127155428867977
W08,9.085175756516881e-06,622.8170882907368,0.0004260105820178705,0.15477275634968507,0.8448012330682947
W08,9.085175756516881e-06,692.675622938229,0.000345662852629991,0.1255818393426539,0.8740724978047136
W08,9.085175756516881e-06,770.369868832001,0.00027397064873388005,0.09953553797326851,0.9001904913779951
W08,9.085175756516881e-06,856.7787217439849,0.0002115594444311794,0.07686109155158999,0.9229273490039763
W08,9.085175756516881e-06,952.8796591515439,0.0001586966668083701,0.05765565829162593,0.9421856450415633
W08,9.085175756516881e-06,1059.7597976949726,0.00011526506571383384,0.04187664035680992,0.9580080945774739
W08,9.085175756516881e-06,1178.6281908992614,8.077020353284887e-05,0.029344404949968334,0.9705748248464964
W08,9.085175756516881e-06,1310.8295062748784,5.438524561282081e-05,0.019758557001989675,0.9801870577523951
W08,9.085175756516881e-06,1457.859236516178,3.5030339830736564e-05,0.012726778348528969,0.987238191311638
W08,9.085175756516881e-06,1621.3806168701326,2.147731032839479e-05,0.007802863728778879,0.9921756589608904
W08,9.085175756516881e-06,1803.2434400486777,1.2464770098626823e-05,0.004528542028912984,0.9954589932009861
W08,9.085175756516881e-06,2005.5049815234322,6.805882684847172e-06,0.0024726268947051757,0.9975205672226076
W08,1.4677992676220705e-05,0.0,1.0,0.0,0.0
W08,1.4677992676220705e-05,5.667778735360794e-05,0.9990021996382801,0.000997800276870689,8.484930215665627e-11
W08,1.4677992676220705e-05,6.322470716381293e-05,0.9988870067784631,0.001112993115958975,1.0557797382146358e-10
W08,1.4677992676220705e-05,7.052786960455392e-05,0.9987585235514778,0.0012414763171518313,1.3137047482786876e-10
W08,1.4677992676220705e-05,7.867462917730943e-05,0.9986152186048253,0.0013847812317111627,1.634636246668944e-10
W08,1.4677992676220705e-05,8.776243080774247e-05,0.9984553846335238,0.0015446151630800844,2.033962430641945e-10
W08,1.4677992676220705e-05,9.789997540280993e-05,0.9982771182839465,0.0017228814629707864,2.5308285685292337e-10
W08,1.4677992676220705e-05,0.0001092085200427839,0.9980782977915741,0.0019217018935207687,3.149053143814715e-10
W08,1.4677992676220705e-05,0.00012182332836002766,0.9978565581059331,0.002143441502240116,3.918269318789328e-10
W08,1.4677992676220705e-05,0.00013589528845277813,0.9976092632272587,0.002390736285207067,4.875342900737376e-10
W08,1.4677992676220705e-05,0.00015159271768610839,0.9973334754546805,0.0026665239387060366,6.066135947137227e-10
W08,1.4677992676220705e-05,0.00016910337596763377,0.9970259212152881,0.0029740780299420295,7.54770033289068e-10
W08,1.4677992676220705e-05,0.00018863671157912996,0.9966829531115795,0.003317045949320014,9.391006117313577e-10
W08,1.4677992676220705e-05,0.0002104263664268806,0.9963005077897711,0.0036994910417957544,1.1684333307374402e-09
W08,1.4677992676220705e-05,0.00023473297067652402,0.9958740591967018,0.004125939349549486,1.4537489463327572e-09
W08,1.4677992676220705e-05,0.000261847260199553,0.995398566754809,0.004601431436485821,1.8087054208304297e-09
