id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W03,4.641588833612782e-08,10080.0,5.336503444643415e-09,7.415184732571356e-11,4.5893447080076605e-09,2.7700760087277592e-09,3.1152916528347323e-08,7.829399243696147e-09
W03,4.641588833612782e-08,10170.0,5.339096588072883e-09,7.409231361691432e-11,4.586811098286992e-09,2.766436496868438e-09,3.1111178965161813e-08,7.877369462170448e-09
W03,4.641588833612782e-08,10260.0,5.341707894756041e-09,7.403301275050695e-11,4.5842590924702425e-09,2.7628018378717697e-09,3.106951773829001e-08,7.925276654722074e-09
W03,4.641588833612782e-08,10350.0,5.344336804127534e-09,7.397393785021573e-11,4.581689257999039e-09,2.759172032484515e-09,3.1027932202251155e-08,7.97312090551968e-09
W03,4.641588833612782e-08,10440.0,5.346982762963496e-09,7.391508212571485e-11,4.579102154887578e-09,2.755547081517328e-09,3.098642171893668e-08,8.020902298637299e-09
W03,4.641588833612782e-08,10530.0,5.349645237653295e-09,7.385643904190417e-11,4.5764983232815905e-09,2.7519269853785767e-09,3.094498567021104e-08,8.068620918191491e-09
W03,4.641588833612782e-08,10620.0,5.3523237102212354e-09,7.379800226415815e-11,4.573878287491396e-09,2.748311744205803e-09,3.09036234538444e-08,8.116276848298843e-09
W03,4.641588833612782e-08,10710.0,5.35501768572018e-09,7.373976576653355e-11,4.571242548490076e-09,2.744701357981369e-09,3.086233449072812e-08,8.163870173138502e-09
W03,4.641588833612782e-08,10800.0,5.3577266759886835e-09,7.368172359601892e-11,4.568591600392086e-09,2.741095826339286e-09,3.0821118208963226e-08,8.21140097681398e-09
W03,4.641588833612782e-08,10890.0,5.3604502096320725e-09,7.362387001839478e-11,4.5659259203263205e-09,2.73749514871467e-09,3.0779974053607544e-08,8.258869343437669e-09
W03,4.641588833612782e-08,10980.0,5.36318782930541e-09,7.356619947931112e-11,4.563245971192067e-09,2.733899324327291e-09,3.073890148399844e-08,8.306275357107492e-09
W03,4.641588833612782e-08,11070.0,5.3659390961520694e-09,7.350870666928012e-11,4.56055219715544e-09,2.7303083521920846e-09,3.069789997814076e-08,8.353619101947032e-09
W03,4.641588833612782e-08,11160.0,5.368703580574051e-09,7.345138639033363e-11,4.557845033012405e-09,2.7267222311276247e-09,3.065696902355177e-08,8.400900662022464e-09
W03,4.641588833612782e-08,11250.0,5.37148086563904e-09,7.339423360605542e-11,4.5551249007316936e-09,2.723140959768814e-09,3.0616108120624767e-08,8.448120121373273e-09
W03,4.641588833612782e-08,11340.0,5.374270547314058e-09,7.333724344556343e-11,4.552392209217169e-09,2.71956453657852e-09,3.0575316782848935e-08,8.495277564014413e-09
W03,4.641588833612782e-08,11430.0,5.377072236711722e-09,7.328041123329328e-11,4.5496473520317734e-09,2.715992959696274e-09,3.0534594539179e-08,8.542373073964261e-09
W03,4.641588833612782e-08,11520.0,5.379885555194119e-09,7.32237324228914e-11,4.546890712359778e-09,2.712426227157273e-09,3.0493940928973904e-08,8.589406735190755e-09
W03,4.641588833612782e-08,11610.0,5.382710133876541e-09,7.316720259058623e-11,4.544122663509661e-09,2.708864336902849e-09,3.0453355501494504e-08,8.636378631607e-09
W03,4.641588833612782e-08,11700.0,5.38554561556343e-09,7.311081746143801e-11,4.541343566951922e-09,2.705307286675651e-09,3.041283781792134e-08,8.683288847094254e-09
W03,4.641588833612782e-08,11790.0,5.388391655770878e-09,7.30545729228275e-11,4.5385537712830835e-09,2.7017550739699638e-09,3.0372387452414925e-08,8.730137465513805e-09
W03,4.641588833612782e-08,11880.0,5.391247920527072e-09,7.299846499510289e-11,4.535753614454613e-09,2.6982076961142744e-09,3.033200398985658e-08,8.776924570684031e-09
W03,4.641588833612782e-08,11970.0,5.3941140832862145e-09,7.294248979039542e-11,4.532943426900179e-09,2.694665150391482e-09,3.029168702267475e-08,8.823650246347801e-09
W03,4.641588833612782e-08,12060.0,5.396989828124244e-09,7.288664355526907e-11,4.530123528297277e-09,2.691127433892425e-09,3.025143615415128e-08,8.870314576208359e-09
W03,4.641588833612782e-08,12150.0,5.399874850194414e-09,7.28309226777957e-11,4.527294227104579e-09,2.687594543560865e-09,3.02112509988299e-08,8.916917643931463e-09
W03,4.641588833612782e-08,12240.0,5.402768855178948e-09,7.277532368016344e-11,4.524455821117677e-09,2.6840664762003205e-09,3.017113118196569e-08,8.963459533140751e-09
W03,4.641588833612782e-08,12330.0,5.405671553479308e-09,7.271984313842555e-11,4.521608603359056e-09,2.6805432285044873e-09,3.0131076333736624e-08,9.009940327366013e-09
W03,4.641588833612782e-08,12420.0,5.4085826654917925e-09,7.266447775575857e-11,4.518752856729238e-09,2.677024797037951e-09,3.0091086094490994e-08,9.056360110090661e-09
W03,4.641588833612782e-08,12510.0,5.4115019195821105e-09,7.260922433461618e-11,4.515888856060062e-09,2.6735111782496367e-09,3.005116011272642e-08,9.102718964733871e-09
W03,4.641588833612782e-08,12600.0,5.414429056601459e-09,7.255407984293091e-11,4.5130168635323986e-09,2.6700023684665892e-09,3.001129804957256e-08,9.149016974690123e-09
W03,4.641588833612782e-08,12690.0,5.417363821716035e-09,7.249904129562648e-11,4.510137136965127e-09,2.666498363919506e-09,2.997149957066618e-08,9.195254223258167e-09
W03,4.641588833612782e-08,12780.0,5.420305966508102e-09,7.244410578566218e-11,4.507249927683023e-09,2.662999160742564e-09,2.9931764348233843e-08,9.241430793659513e-09
W03,4.641588833612782e-08,12870.0,5.423255250670518e-09,7.238927050915889e-11,4.504355478797111e-09,2.659504754974258e-09,2.989209206277069e-08,9.287546769053385e-09
W03,4.641588833612782e-08,12960.0,5.426211441022674e-09,7.233453275102847e-11,4.501454026203086e-09,2.65601514255803e-09,2.9852482402063825e-08,9.333602232528638e-09
W03,4.641588833612782e-08,13050.0,5.429174317014055e-09,7.227988995747303e-11,4.49854579300526e-09,2.6525303192223062e-09,2.981293506676254e-08,9.379597267157028e-09
W03,4.641588833612782e-08,13140.0,5.432143657096599e-09,7.2225339556555e-11,4.495631003323635e-09,2.6490502807745464e-09,2.977344975658698e-08,9.425531955862892e-09
W03,4.641588833612782e-08,13230.0,5.435119248734489e-09,7.21708790900367e-11,4.492709872152263e-09,2.6455750228837626e-09,2.97340261804589e-08,9.471406381519648e-09
W03,4.641588833612782e-08,13320.0,5.438100885455383e-09,7.211650617457505e-11,4.48978260834683e-09,2.6421045411434665e-09,2.9694664053517773e-08,9.517220626921964e-09
W03,4.641588833612782e-08,13410.0,5.441088368290209e-09,7.206221852060466e-11,4.486849413165974e-09,2.6386388310218272e-09,2.9655363098595515e-08,9.562974774800682e-09
W03,4.641588833612782e-08,13500.0,5.444081505841765e-09,7.200801393324701e-11,4.483910480201776e-09,2.6351778878558543e-09,2.9616123046289664e-08,9.608668907824067e-09
W03,4.641588833612782e-08,13590.0,5.447080108391873e-09,7.195389023507452e-11,4.48096600134984e-09,2.631721707036955e-09,2.957694362894322e-08,9.654303108539512e-09
W03,4.641588833612782e-08,13680.0,5.450083993256625e-09,7.189984533631883e-11,4.478016161383845e-09,2.6282702838354012e-09,2.9537824586121474e-08,9.699877459427567e-09
