time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
10.71,1.041,3.255839572104389e-07,1.0545228067148092e-05,0.0001749379381958276,0.004036040825166337,0.016011857720711474,0.0005732556008753452,6.429502534607426e-05,4.850006223452046e-06,1.5438697827513326e-07,0.020876262315521144
10.715,1.0407857142857142,3.2520871861382153e-07,1.0529404692123303e-05,0.0001745208585123147,0.004006176582652537,0.01624846837395597,0.0005747171001434582,6.438778139141691e-05,4.854859891780347e-06,1.545047212102815e-07,0.021084134674679424
10.72,1.0405714285714285,3.248341293646662e-07,1.0513617001145966e-05,0.00017410527899730513,0.003976680131345897,0.016490218103315885,0.0005761842406651715,6.448073880535792e-05,4.8597208584186734e-06,1.5462259898414354e-07,0.02129752128771753
10.725,1.0403571428571428,3.2446018796321307e-07,1.0497864886709386e-05,0.00017369119241394048,0.003947544737690509,0.016737226149960198,0.0005776570517514747,6.457389817266596e-05,4.8645891380241525e-06,1.5474061180282885e-07,0.021516534684813286
10.73,1.040142857142857,3.2408689291403716e-07,1.0482148241712504e-05,0.00017327859156926313,0.003918763831952256,0.01698961400906271,0.0005791355629056002,6.466726008023951e-05,4.8694647452907865e-06,1.5485875987284156e-07,0.02174128981420986
10.735,1.0399285714285713,3.2371424272603235e-07,1.0466466959458084e-05,0.0001728674693138963,0.003890331003575192,0.01724750544205319,0.0005806198038245465,6.476082511711593e-05,4.874347694949535e-06,1.549770434010806e-07,0.02197190404982447
10.74,1.0397142857142856,3.2334223591239667e-07,1.0450820933650899e-05,0.00017245781854172338,0.003862239996672435,0.017511026487439182,0.0005821098044006259,6.485459387448096e-05,4.8792380017684434e-06,1.5509546259484115e-07,0.022208497197562377
10.745000000000001,1.0394999999999999,3.229708709906177e-07,1.0435210058395861e-05,0.00017204963218957333,0.0038344847056482633,0.017780305470123117,0.0005836055947230167,6.494856694567816e-05,4.884135680552744e-06,1.5521401766181528e-07,0.02245119150025725
10.75,1.0392857142857141,3.226001464824577e-07,1.041963422819626e-05,0.00017164290323690693,0.0038070591709479153,0.018055473009142904,0.0005851072050793375,6.504274492621813e-05,4.889040746144984e-06,1.553327088100929e-07,0.022700111641162913
10.755,1.0390714285714284,3.222300609139374e-07,1.0404093337951933e-05,0.0001712376247055051,0.0037799575749318005,0.01833666202376122,0.0005866146659572355,6.513712841378856e-05,4.89395321342512e-06,1.554515362481628e-07,0.022955384745918087
10.76,1.038857142857143,3.218606128153241e-07,1.038858728295748e-05,0.00017083378965916305,0.003753174237870929,0.018624007737825923,0.0005881280080459836,6.523171800826328e-05,4.898873097310648e-06,1.555705001849134e-07,0.02321714038290353
10.765,1.038642857142857,3.2149180072111406e-07,1.0373115958900468e-05,0.00017043139120338248,0.003726703614060285,0.01891764768232734,0.0005896472622381011,6.532651431171224e-05,4.903800412756703e-06,1.5568960082963393e-07,0.02348551056191403
10.77,1.0384285714285715,3.2112362317001944e-07,1.03576792618597e-05,0.000170030422485071,0.0037005402880468576,0.019217721696071336,0.0005911724596309824,6.542151792841101e-05,4.908735174756181e-06,1.5580883839201483e-07,0.023760629731060835
10.775,1.0382142857142858,3.207560787049532e-07,1.0342277088303386e-05,0.00016963087669223995,0.0036746789709694873,0.01952437192439259,0.0005927036315285469,6.551672946485059e-05,4.91367739833986e-06,1.559282130821493e-07,0.02404263477182614
10.78,1.0379999999999998,3.2038916587301564e-07,1.0326909335087453e-05,0.0001692327470537086,0.003649114497007264,0.019837742815825284,0.0005942408094428992,6.561214952974711e-05,4.918627098576494e-06,1.5604772511053394e-07,0.02433166499218355
10.785,1.0377857142857143,3.200228832254783e-07,1.0311575899453739e-05,0.00016883602683880758,0.003623841819933584,0.02015798111665365,0.0005957840250960112,6.570777873405181e-05,4.923584290572953e-06,1.561673746880695e-07,0.024627862117704045
10.790000000000001,1.0375714285714286,3.196572293177704e-07,1.0296276679028315e-05,0.0001684407093570871,0.003598856009773001,0.02048523586325855,0.0005973333104214136,6.580361769096072e-05,4.928548989474326e-06,1.5628716202606226e-07,0.024931370280560854
10.795,1.0373571428571426,3.1929220270946494e-07,1.0281011571819732e-05,0.00016804678795802704,0.00357415224955781,0.02081965837218039,0.0005988886975659084,6.589966701592481e-05,4.933521210464029e-06,1.5640708733622444e-07,0.025242336006350386
10.8,1.0371428571428571,3.189278019642639e-07,1.0265780476217269e-05,0.00016765425603074805,0.003549725832181779,0.02116140222781618,0.000600450218891296,6.599592732665971e-05,4.938500968763946e-06,1.5652715083067563e-07,0.025560908198644438
10.805,1.0369285714285714,3.185640256499836e-07,1.0250583290989294e-05,0.00016726310700372805,0.003525572157348198,0.0215106232676654,0.000602017906976118,6.609239924315601e-05,4.94348827963452e-06,1.5664735272194322e-07,0.025887238121185596
10.81,1.0367142857142855,3.1820087233854146e-07,1.0235419915281487e-05,0.0001668733343445179,0.003501686728609421,0.021867479565046637,0.0006035917946174191,6.618908338768922e-05,4.948483158374892e-06,1.5676769322296402e-07,0.026221479377644897
10.815,1.0365000000000002,3.178383406059417e-07,1.0220290248615234e-05,0.0001664849315594618,0.0034780651504956136,0.022232131409196717,0.000605171914832521,6.628598038482984e-05,4.953485620322998e-06,1.5688817254708446e-07,0.026563787888851234
10.82,1.0362857142857143,3.1747642903226033e-07,1.020519419088586e-05,0.0001660978921934189,0.0034547031257296987,0.0226047412826737,0.0006067583008608219,6.638309086145374e-05,4.958495680855711e-06,1.570087909080622e-07,0.02691432186741078
10.825000000000001,1.0360714285714283,3.1711513620163265e-07,1.0190131642361009e-05,0.00016571220982948792,0.003431596452526377,0.022985473835977325,0.0006083509861656028,6.648041544675224e-05,4.963513355388936e-06,1.571295485200664e-07,0.027273241789628012
10.83,1.035857142857143,3.1675446070223834e-07,1.0175102503678973e-05,0.00016532787808873342,0.003408741021972602,0.023374495859306416,0.0006099500044358576,6.657795477224237e-05,4.968538659377741e-06,1.5725044559767937e-07,0.02764071036464521
10.835,1.035642857142857,3.163944011262874e-07,1.0160106675846995e-05,0.00016494489062991456,0.003386132815486995,0.023771976251369734,0.0006115553895881432,6.667570947177749e-05,4.973571608316491e-06,1.5737148235589716e-07,0.028016892500714208
10.84,1.0354285714285714,3.1603495607000726e-07,1.0145144060239702e-05,0.00016456324114921665,0.0033637679023562094,0.024178085985167234,0.0006131671757684384,6.67736801815574e-05,4.978612217738924e-06,1.5749265901013028e-07,0.02840195526851572
10.845,1.0352142857142859,3.1567612413362824e-07,1.0130214558597378e-05,0.00016418292337998434,0.0033416424373455727,0.02459299807066284,0.0006147853973540309,6.6871867540139e-05,4.98366050321833e-06,1.5761397577620534e-07,0.028796067861444296
10.85,1.035,3.153179039213702e-07,1.0115318073024391e-05,0.0001638039310924571,0.0033197526583821162,0.025016887514264206,0.0006164100889554143,6.697027218844663e-05,4.988716480367625e-06,1.577354328703654e-07,0.029199401552772824
10.855,1.0347857142857142,3.149602940414283e-07,1.0100454505987549e-05,0.00016342625809350736,0.0032980948843075717,0.025449931275033876,0.0006180412854182102,6.706889476978283e-05,4.993780164839496e-06,1.5785703050927103e-07,0.029612129649618325
10.86,1.0345714285714287,3.14603293105961e-07,1.0085623760314495e-05,0.0001630498982263805,0.0032766655126994053,0.025892308217548166,0.0006196790218251012,6.716773592983875e-05,4.998851572326514e-06,1.5797876891000174e-07,0.030034427443623554
10.865,1.0343571428571428,3.1424689973107363e-07,1.0070825739192087e-05,0.0001626748453704363,0.0032554610177577925,0.026344199061330946,0.0006213233334977944,6.72667963167051e-05,5.003930718561254e-06,1.581006482900563e-07,0.03046647215827945
10.870000000000001,1.034142857142857,3.138911125368082e-07,1.005606034616483e-05,0.00016230109344089513,0.003234477948256378,0.026805786326780906,0.0006229742559989905,6.736607658088263e-05,5.009017619316434e-06,1.5822266886735415e-07,0.03090844289280494
10.875,1.0339285714285715,3.135359301471283e-07,1.0041327485133278e-05,0.00016192863638858214,0.0032137129255552024,0.027277254277521576,0.0006246318251343798,6.746557737529302e-05,5.01411229040501e-06,1.583448308602363e-07,0.031360520562511575
10.88,1.0337142857142856,3.1318135118990434e-07,1.00266270603524e-05,0.0001615574681996771,0.003193162641673491,0.027758788859098937,0.0006262960769546601,6.756529935528982e-05,5.01921474768033e-06,1.5846713448746619e-07,0.03182288783557577
10.885,1.0335,3.128273742969034e-07,1.0011958976430119e-05,0.00016118758289546519,0.0031728238574208253,0.028250577633953642,0.000627967047757566,6.766524317866919e-05,5.024325007036233e-06,1.5858957996823082e-07,0.0322957290661439
