permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,25.8,4494319.317649852,130021.11191027991,653055.6457130064,216923.2423762877,84746.63906265778,216923.2423762877,573095.9151977692,521615.65995224967,1539459.2193660336,230918.88290490495
High permeability,25.900000000000002,4491146.352693296,130102.07977647355,652963.5628996101,216934.35732349032,84855.15745717108,216934.35732349032,576241.3296260046,522191.3823602615,1549897.3022894673,232484.59534342005
High permeability,26.0,4487973.284220617,130183.10613056332,652872.0425880055,216944.85128100516,84962.35521098626,216944.85128100516,579388.2266989578,522759.8765186863,1560346.8267953014,234052.02401929515
High permeability,26.1,4484800.122154084,130264.19167407292,652781.0720766059,216954.7362488952,85068.24350312953,216954.7362488952,582536.5860168574,523321.22609525715,1570807.649185326,235621.14737779883
High permeability,26.200000000000003,4481626.876118764,130345.33709127354,652690.639059834,216964.02384846655,85172.8334059726,216964.02384846655,585686.387566535,523875.5132721886,1581279.6283975656,237191.94425963477
High permeability,26.3,4478453.555699876,130426.54306412357,652600.7312852205,216972.72565023004,85276.13597647879,216972.72565023004,588837.6113877668,524422.8200253447,1591762.6237336032,238764.3935600404
High permeability,26.400000000000002,4475280.170374835,130507.81026839091,652511.3366439363,216980.85308724677,85378.1622374851,216980.85308724677,591990.2376560691,524963.2278018448,1602256.4954268588,240338.47431402875
High permeability,26.5,4472106.729272174,130589.13935966816,652422.4434921227,216988.4171477832,85478.92308150516,216988.4171477832,595144.2470059872,525496.8162494705,1612761.1068717458,241914.1660307618
High permeability,26.6,4468933.241349295,130670.53098361315,652334.0404140062,216995.42860195466,85578.42933351995,216995.42860195466,598299.6203007962,526023.6641215195,1623276.3230359345,243491.44845539008
High permeability,26.700000000000003,4465759.715491933,130751.9857817308,652246.1160893494,217001.89812849383,85676.69178919974,217001.89812849383,601456.3385005959,526543.8497883577,1633802.0095568052,245070.3014335207
High permeability,26.8,4462586.160471817,130833.50438899586,652158.659349857,217007.83626072115,85773.7212051594,217007.83626072115,604614.3827120177,527057.4510370711,1644338.033088527,246650.704963279
High permeability,26.900000000000002,4459412.584697886,130915.08741936923,652071.6595108821,217013.25306932267,85869.52818615215,217013.25306932267,607773.7345353283,527564.543691675,1654884.2637089854,248232.63955634774
High permeability,27.0,4456238.996520815,130996.73548342883,651985.1059654607,217018.15855068454,85964.1233118729,217018.15855068454,610934.3756507382,528065.2032589427,1665440.5720499477,249816.08580749205
High permeability,27.1,4453065.40417623,131078.44918510108,651898.9882600246,217022.5625544483,86057.51711247666,217022.5625544483,614096.2878963931,528559.504611877,1676006.8298435328,251401.02447652983
High permeability,27.200000000000003,4449891.8157587135,131160.22912022076,651813.2961290501,217026.4747503031,86149.72006195402,217026.4747503031,617259.4532995513,529047.5218571422,1686582.9101459112,252987.43652188656
High permeability,27.3,4446718.239058413,131242.07586697233,651728.0197130025,217029.90441959922,86240.7424941948,217029.90441959922,620423.8543143625,529529.3273826379,1697168.688992419,254575.30334886277
High permeability,27.400000000000002,4443544.681833515,131323.99000168746,651643.1491949742,217032.86080291236,86330.59472736555,217032.86080291236,623589.4734408043,530004.9933900604,1707764.0427396824,256164.60641095226
High permeability,27.5,4440371.151768323,131405.97209646407,651558.6748565782,217035.3530465317,86419.28704944414,217035.3530465317,626756.2932786949,530474.5916738093,1718368.8484457107,257755.32726685653
High permeability,27.6,4437197.656266726,131488.02270720655,651474.5873534647,217037.38993890278,86506.82961441053,217037.38993890278,629924.296826068,530938.1924009278,1728982.9859684685,259347.4478952702
High permeability,27.700000000000003,4434024.202597256,131570.14238197188,651390.8775218517,217038.9800957505,86593.23250865152,217038.9800957505,633093.4672760621,531395.8649436751,1739606.3365355458,260940.9504803318
High permeability,27.8,4430850.797970066,131652.33166543962,651307.5362758513,217040.13205828302,86678.5057884072,217040.13205828302,636263.7879069651,531847.6783244166,1750238.7819749105,262535.8172962365
High permeability,27.900000000000002,4427677.44950313,131734.59109701982,651224.5546525246,217040.85425002952,86762.65946887831,217040.85425002952,639435.2421250094,532293.7010348651,1760880.2050209157,264132.03075313725
High permeability,28.0,4424504.164024426,131816.9211993527,651141.924075915,217041.15472430634,86845.70341211277,217041.15472430634,642607.8137628126,532733.9998074351,1771530.491420566,265729.5737130848
High permeability,28.1,4421330.948316222,131899.3224924295,651059.6360310555,217041.0414760891,86927.6474554322,217041.0414760891,645781.4867207737,533168.6410954866,1782189.5273992429,267328.42910988635
High permeability,28.200000000000003,4418157.809070878,131981.79549105454,650977.68212298,217040.5223855395,87008.50138760652,217040.5223855395,648956.2450325687,533597.6907985216,1792857.2001274375,268928.5800191156
High permeability,28.3,4414984.752862039,132064.34070323408,650896.0541151493,217039.60518119062,87088.27493673704,217039.60518119062,652132.072904456,534021.2140920596,1803533.3980053752,270530.00970080623
High permeability,28.400000000000002,4411811.786024648,132146.95862316413,650814.7440896808,217038.29728672904,87166.97769375265,217038.29728672904,655308.9549047619,534439.2746450985,1814218.012002452,272132.70180036774
