ligand,site,total_l_M,free_l_M,free_u_M,target_U1_occupancy,inclusion_proxy_percent,offtarget_inclusion_proxy_percent,target_ligand_occupancy,ligand_mass_error_M,u1_mass_error_M
Risdiplam-like model,WT scenario,0.0018478497974222907,0.001847820862461887,9.517660017634972e-08,0.9320742323345501,93.20742323345502,9.864171196603916,0.9990021326147606,0.0,0.0
Risdiplam-like model,WT scenario,0.002154434690031882,0.0021544053577035064,9.514396464461257e-08,0.932178477393541,93.2178477393541,9.972261335334487,0.9991437530706347,0.0,0.0
Risdiplam-like model,WT scenario,0.002511886431509577,0.0025118567488977587,9.511521733886114e-08,0.9322674626974398,93.22674626974397,10.067492452479938,0.9992653154720255,0.0,0.0
Risdiplam-like model,WT scenario,0.0029286445646252374,0.0029286145743422282,9.508998340054341e-08,0.9323434590856314,93.23434590856314,10.151098937617729,0.9993696508707234,0.0,0.0
Risdiplam-like model,WT scenario,0.003414548873833601,0.003414518614159192,9.506790138027757e-08,0.932408392420657,93.2408392420657,10.224272782937025,0.999459192979073,-4.336808689942018e-19,0.0
Risdiplam-like model,WT scenario,0.003981071705534969,0.003981041210637238,9.504862949397941e-08,0.9324638969910715,93.24638969910714,10.288142373461461,0.9995360334575277,0.0,0.0
Risdiplam-like model,WT scenario,0.004641588833612782,0.0046415581338213035,9.503184959549612e-08,0.932511360639824,93.2511360639824,10.343758944080774,0.9996019696005463,0.0,0.0
Risdiplam-like model,WT scenario,0.0054116952654646375,0.005411664387573272,9.501726932566587e-08,0.9325519628331707,93.25519628331706,10.392089162225924,0.9996585454522968,0.0,0.0
Risdiplam-like model,WT scenario,0.00630957344480193,0.006309542412383543,9.500462286276312e-08,0.9325867067419297,93.25867067419297,10.43401241251006,0.9997070872444869,0.0,0.0
Risdiplam-like model,WT scenario,0.007356422544596406,0.0073563913783164,9.499367064472599e-08,0.932616446266474,93.2616446266474,10.470321542470215,0.9997487339286838,0.0,0.0
Risdiplam-like model,WT scenario,0.008576958985908946,0.008576927703828398,9.498419837176088e-08,0.9326419088052395,93.26419088052394,10.501726035428794,0.9997844634718822,0.0,0.0
Risdiplam-like model,WT scenario,0.01,0.00999996861786222,9.497601553691149e-08,0.9326637144471478,93.26637144471478,10.528856780647361,0.9998151154944418,0.0,0.0
Risdiplam-like model,mutant scenario,0.0,0.0,9.924116854969482e-08,0.01627106812260923,1.6271068122609231,2.420964380214942,0.0,0.0,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,1e-10,9.998559814892009e-11,9.924116730712579e-08,0.016271070092837153,1.6271070092837152,2.420968508976883,3.7560731159241815e-08,9.822769774067204e-25,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,1.165914401179831e-10,1.165746487937325e-10,9.92411671009658e-08,0.01627107041972634,1.627107041972634,2.4209691939975575,4.379259709973562e-08,1.34416849539867e-24,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,1.3593563908785242e-10,1.3591606184289772e-10,9.924116686060095e-08,0.01627107080085114,1.6271070800851142,2.4209699926728856,5.105841924619752e-08,1.83530698410203e-24,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,1.584893192461111e-10,1.584664938567352e-10,9.924116658035618e-08,0.016271071245210048,1.627107124521005,2.4209709238597625,5.952974578752965e-08,2.481541837659083e-24,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,1.8478497974222944e-10,1.8475836729537703e-10,9.924116625361483e-08,0.016271071763294485,1.6271071763294485,2.4209720095436937,6.940658721478398e-08,3.386270632638957e-24,4.539567201691016e-21
Risdiplam-like model,mutant scenario,2.1544346900318867e-10,2.1541244117268415e-10,9.92411658726625e-08,0.01627107236733659,1.627107236733659,2.42097327535787,8.092213862234826e-08,4.575342763183934e-24,4.539567201691016e-21
Risdiplam-like model,mutant scenario,2.511886431509582e-10,2.511524673626954e-10,9.924116542850482e-08,0.016271073071597985,1.6271073071597986,2.4209747511883677,9.434828550524398e-08,6.255553382432272e-24,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,2.928644564625237e-10,2.9282227859838733e-10,9.924116491065519e-08,0.01627107389270647,1.6271073892706471,2.420976471879747,1.1000202304522122e-07,8.478601278668534e-24,4.5263323118901674e-21
Risdiplam-like model,mutant scenario,3.414548873833601e-10,3.4140571161553474e-10,9.924116430688711e-08,0.016271074850048684,1.6271074850048683,2.4209784780577204,1.2825294044578889e-07,1.1528829787457823e-23,4.5263323118901674e-21
