total_BiTE_nM,KD_CD3_nM,KD_TAA_nM,free_CD3_nM,free_TAA_nM,free_BiTE_nM,CD3_BiTE_nM,TAA_BiTE_nM,trimer_nM,trimer_complexes_per_target,max_mass_balance_error_nM
0.00017782794100389227,10.0,1.0,8.302614667784718,16.605222944660735,5.518808609216574e-06,4.5820541307578116e-06,9.164104734495426e-05,7.608603038573712e-05,0.0458200784852546,5.33226511990198e-13
0.00021544346900318845,10.0,1.0,8.302597604363129,16.605187465768747,6.686209000663638e-06,5.55129028311811e-06,0.00011102575389133002,9.218021582807671e-05,0.055512223500385795,7.105427357601002e-15
0.0002610157215682536,10.0,1.0,8.302576931607549,16.60514448212195,8.1005560629938e-06,6.725548990180598e-06,0.000134510903811541,0.00011167871270353822,0.06725449277963073,1.0658141036401503e-14
0.00031622776601683794,10.0,1.0,8.302551886067741,16.60509240626192,9.81409018029821e-06,8.148199293647381e-06,0.0001629638743272395,0.00013530160221565289,0.08148052935961896,1.7763568394002505e-14
0.00038311868495572853,10.0,1.0,8.302521542814095,16.605029314942005,1.1890104020416065e-05,9.871784477580486e-06,0.00019743552581671854,0.0001639212706410134,0.09871569653582382,1.9539925233402755e-14
0.00046415888336127773,10.0,1.0,8.302484781285456,16.604952878099397,1.4405281362605901e-05,1.1959962928317051e-05,0.00023919901822183447,0.0001985946208485203,0.119596476092862,1.7763568394002505e-15
0.0005623413251903491,10.0,1.0,8.302440243915,16.604860272803982,1.7452531073517497e-05,1.448985963429487e-05,0.0002897968398825277,0.00024060209460000895,0.14489396808320898,0.0
0.0006812920690579609,10.0,1.0,8.3023862860086,16.60474807900586,2.114442119569192e-05,1.7554915256070214e-05,0.00035109778723085616,0.00029149494537534257,0.1755423591878824,0.0
0.0008254041852680181,10.0,1.0,8.30232091502597,16.60461215323168,2.561734039228914e-05,2.126833809262417e-05,0.0004253660016112771,0.00035315250517182757,0.21267340958913736,1.7763568394002505e-15
0.001,10.0,1.0,8.302241717025959,16.6044474755661,3.103654104923437e-05,2.576728658511422e-05,0.0005153446156752633,0.00042785155669038805,0.2576582298774637,1.7763568394002505e-15
0.0012115276586285877,10.0,1.0,8.302145767564449,16.604247964268072,3.760225118330825e-05,3.121793705123978e-05,0.0006243571026623427,0.000518350367731697,0.31215788774780406,1.7763568394002505e-15
0.0014677992676220691,10.0,1.0,8.302029523761405,16.604006251177182,4.555708219769619e-05,3.782162414216989e-05,0.0007564300775959403,0.0006279904836862626,0.3781847088699158,0.0
0.0017782794100389228,10.0,1.0,8.301888693561688,16.60371340961771,5.519500800119e-05,4.582228128661261e-05,0.0009164420944933153,0.0007608200262578045,0.4581765291151395,3.552713678800501e-15
0.002154434690031882,10.0,1.0,8.301718077377043,16.603358624755007,6.68722499459533e-05,5.551545662511965e-05,0.0011103039478969163,0.0009217430355638928,0.5550866304715449,3.552713678800501e-15
0.0026101572156825357,10.0,1.0,8.301511376283909,16.602928794234995,8.102047375349511e-05,6.725923845765515e-05,0.0013451771566044646,0.0011167003468669204,0.6724926675573419,4.336808689942018e-19
0.0031622776601683794,10.0,1.0,8.301260959727506,16.602408044365475,9.816279193648822e-05,8.148749524002236e-05,0.0016297387265037265,0.0013528886464881406,0.8147285861757462,1.7763568394002505e-15
0.003831186849557285,10.0,1.0,8.300957584203017,16.601777143981973,0.00011893317170278751,9.872592136595737e-05,0.0019745020116366213,0.0016390257448519123,0.9870443744762061,3.552713678800501e-15
0.004641588833612777,10.0,1.0,8.300590052597503,16.601012794367815,0.00014409997830884565,0.00011961148465299202,0.0023922055835732714,0.00198567178707765,1.195799500494236,1.8214596497756474e-17
